Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2019-08-30 09:27:01,160,184,0,0,0,0,0/hr,329
2019-08-30 09:57:01,187,186,288,271,288,271,271/hr,381
2019-08-30 10:27:01,188,187,611,606,602,602,602/hr,396
2019-08-30 10:57:01,189,188,1122,1086,882,855,855/hr,390
2019-08-30 11:27:01,189,188,1528,1610,918,1004,1004/hr,373
2019-08-30 11:57:01,190,190,1850,2033,728,947,947/hr,362
2019-08-30 12:27:02,189,190,2152,2394,628,788,788/hr,370
2019-08-30 12:58:01,189,192,2499,2753,649,720,720/hr,375
2019-08-30 13:28:01,189,192,2890,3261,738,868,868/hr,360
2019-08-30 13:58:01,189,192,3320,3776,840,1046,1046/hr,363
2019-08-30 14:28:01,188,192,3678,4250,790,992,992/hr,357
2019-08-30 14:58:01,188,192,4042,4644,745,896,896/hr,336
2019-08-30 15:28:01,189,191,4395,4994,717,746,746/hr,308
2019-08-30 15:58:01,188,190,4707,5347,659,697,697/hr,288
2019-08-30 16:28:01,189,189,4999,5708,606,716,716/hr,269
2019-08-30 16:58:01,189,190,5228,5979,521,632,632/hr,257
2019-08-30 17:28:01,189,190,5475,6268,477,560,560/hr,231
2019-08-30 17:58:01,189,190,5658,6489,415,490,490/hr,229
2019-08-30 18:28:01,189,188,5860,6708,385,441,441/hr,210
2019-08-30 18:58:01,189,187,6053,6908,372,397,397/hr,215
2019-08-30 19:28:02,189,187,6300,7181,441,473,473/hr,218
2019-08-30 19:59:02,188,187,6512,7454,461,550,550/hr,236
2019-08-30 20:30:01,187,187,6722,7683,438,516,516/hr,220
2019-08-30 21:00:01,185,187,6944,7926,432,472,472/hr,206
2019-08-30 21:30:01,185,187,7221,8211,499,528,528/hr,195
2019-08-30 22:00:01,184,187,7473,8546,519,636,636/hr,194
2019-08-30 22:30:01,182,190,7691,8857,464,627,627/hr,186
2019-08-30 23:00:01,182,192,7908,9157,435,611,611/hr,167
2019-08-30 23:30:01,182,192,8100,9429,400,561,561/hr,150
2019-08-31 00:00:02,182,194,8271,9634,363,477,477/hr,144
2019-08-31 00:31:01,181,196,8456,9808,354,381,381/hr,152
2019-08-31 01:01:01,180,196,8607,9964,329,329,329/hr,142
