Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2025-02-11 09:52:01,180,177,0,0,0,0,4347,25281
2025-02-11 10:22:01,183,186,1544,1529,7032,6846,5796,25281
2025-02-11 10:52:01,183,186,5728,5695,8292,8288,6099,25281
2025-02-11 11:22:01,183,186,8873,9084,6226,6714,6067,25281
2025-02-11 11:52:01,183,186,11908,12317,6000,6431,5894,25281
2025-02-11 12:22:01,183,186,15237,15547,6598,6408,5749,25281
2025-02-11 12:52:01,180,189,18321,18652,6134,6179,5573,25281
2025-02-11 13:22:01,180,189,20796,21293,4872,5173,5318,25281
2025-02-11 13:52:01,177,192,23866,24622,6098,6598,0,25281
2025-02-11 14:22:01,176,193,26238,26990,4788,4752,4590,25281
2025-02-11 14:52:01,175,194,28648,29578,4802,5130,4308,25281
2025-02-11 15:22:01,174,195,30621,31790,3932,4399,4090,25281
2025-02-11 15:52:01,173,196,32472,33871,3690,4152,3767,25281
2025-02-11 16:22:01,172,197,34245,35698,3523,3607,3619,25281
2025-02-11 16:52:01,172,197,36201,37642,3904,3873,3478,25281
2025-02-11 17:22:01,170,199,37815,39240,3227,3185,3477,25281
2025-02-11 17:52:01,171,198,39423,40940,3217,3386,3389,25281
2025-02-11 18:22:01,171,198,40842,42677,2832,3460,3348,25281
2025-02-11 18:52:01,171,198,42517,44478,3350,3593,3266,25281
2025-02-11 19:22:01,169,200,43737,46098,2441,3225,3137,25281
2025-02-11 19:52:01,168,201,44950,47514,2426,2828,2916,25281
2025-02-11 20:22:02,168,201,45909,48551,1916,2067,2802,25281
2025-02-11 20:53:01,168,201,46884,49584,2023,2114,2625,25281
2025-02-11 21:23:01,168,201,47791,50397,1804,1616,2444,25281
2025-02-11 21:53:01,166,203,48709,51227,1890,1690,2339,25281
2025-02-11 22:23:01,166,203,49460,51905,1502,1306,2169,25281
2025-02-11 22:53:02,166,202,50272,52479,1661,1161,2042,25281
2025-02-11 23:24:01,167,202,50958,53044,1389,1133,2049,25281
2025-02-11 23:54:01,167,202,51684,53802,1436,1464,2049,25281
2025-02-12 00:24:01,166,202,52388,54383,1450,1189,2029,25281
2025-02-12 00:54:01,166,203,53138,54933,1486,1096,2029,25281
2025-02-12 01:24:01,165,204,53772,55507,1271,1152,2067,25281
2025-02-12 01:54:01,165,204,54522,56118,1598,1263,2127,25281
2025-02-12 02:24:01,164,205,55299,56735,1555,1233,2249,25281
2025-02-12 02:54:01,164,205,56183,57354,1879,1256,2350,25281
2025-02-12 03:24:01,164,205,57047,58007,1744,1286,2444,25281
2025-02-12 03:54:01,164,205,58041,58853,1972,1684,2535,25281
2025-02-12 04:24:01,164,205,59132,59604,2197,1508,2631,25281
2025-02-12 04:54:01,166,203,60283,60536,2260,1994,2766,25281
2025-02-12 05:24:01,165,203,61330,61472,2086,1792,2929,25281
2025-02-12 05:54:01,166,203,62456,62589,2325,2366,3001,25281
2025-02-12 06:24:01,166,203,63599,63715,2308,2279,3171,25281
2025-02-12 06:54:01,165,204,65088,64975,3157,2608,3270,25281
2025-02-12 07:24:01,165,204,66500,66224,2844,2515,3450,25281
2025-02-12 07:54:01,165,204,68267,67638,3551,2825,3677,25281
2025-02-12 08:24:01,165,204,69772,68968,3076,2709,3803,25281
2025-02-12 08:54:01,166,203,71909,70664,4455,3481,3958,25281
2025-02-12 09:24:01,166,203,73718,72182,3603,3042,4048,25281
2025-02-12 09:54:01,165,204,75756,74011,4085,3653,4235,25281
2025-02-12 10:24:01,165,204,77676,75571,3768,3102,4336,25281
2025-02-12 10:54:01,165,204,79730,77307,4005,3442,4464,25281
2025-02-12 11:24:01,165,204,82259,79055,5068,3456,4482,25281
2025-02-12 11:54:01,165,203,85147,81170,5575,4168,4649,25281
2025-02-12 12:24:01,165,204,87809,83384,5255,4431,4578,25281
2025-02-12 12:54:01,165,204,90611,85912,5608,5053,4453,25281
2025-02-12 13:24:01,166,203,93279,88245,5525,4794,4274,25281
2025-02-12 13:54:01,166,203,95533,90386,4395,4240,4105,25281
2025-02-12 14:24:01,167,202,97777,92467,4422,4092,3952,25281
2025-02-12 14:54:02,167,201,99841,94367,4173,3823,3746,25281
2025-02-12 15:24:02,168,201,101442,95948,3277,3210,3513,25281
2025-02-12 15:55:02,168,201,103294,97846,3883,3926,3381,25281
2025-02-12 16:25:02,167,202,105039,99459,3473,3192,3255,25281
2025-02-12 16:56:01,165,204,106827,101027,3139,2873,3138,25281
2025-02-12 17:26:01,165,204,108237,102261,2826,2524,3090,25281
2025-02-12 17:56:02,165,204,109686,103660,2747,2658,3033,25281
2025-02-12 18:27:01,165,203,111309,105064,3693,3087,2992,25281
2025-02-12 18:57:01,165,203,112812,106605,2867,2933,2934,25281
2025-02-12 19:27:01,165,203,114099,107978,2524,2678,2868,25281
2025-02-12 19:57:01,165,204,115455,109624,2680,3156,2790,25281
2025-02-12 20:27:01,165,204,116651,111033,2024,2429,2610,25281
2025-02-12 20:57:01,164,205,117934,112580,2635,3155,2495,25281
2025-02-12 21:27:01,164,205,119127,113971,2246,2577,2397,25281
2025-02-12 21:57:01,164,205,120285,115230,2353,2464,2275,25281
2025-02-12 22:27:02,164,205,121255,116209,1670,1674,2158,25281
2025-02-12 22:57:02,164,204,122324,117068,2221,1804,2053,25281
2025-02-12 23:28:01,165,204,123229,117823,1721,1424,2001,25281
2025-02-12 23:58:01,166,203,124233,118782,1733,1665,1939,25281
2025-02-13 00:28:01,165,204,125100,119666,1709,1762,1949,25281
2025-02-13 00:58:01,167,201,125818,120360,1265,1304,1957,25281
2025-02-13 01:28:01,168,201,126487,121109,1428,1585,2047,25281
2025-02-13 01:58:01,168,201,127387,121864,1803,1512,2108,25281
2025-02-13 02:28:01,168,201,128236,122678,1714,1669,2141,25281
2025-02-13 02:58:01,166,203,129190,123505,1821,1565,2215,25281
2025-02-13 03:28:01,166,203,130193,124435,2033,1878,2310,25281
2025-02-13 03:58:01,167,202,131312,125571,2002,2134,2416,25281
