Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,WinMargin
2019-10-09 09:48:01,102,98,311,279,106,36,364,136
2019-10-09 10:18:01,104,98,752,783,752,783,409,136
2019-10-09 10:48:01,106,103,1208,1336,900,1059,416,136
2019-10-09 11:18:01,107,104,1710,1788,908,898,405,136
2019-10-09 11:48:01,107,105,2096,2228,883,889,420,136
2019-10-09 12:18:01,107,106,2479,2629,767,843,417,136
2019-10-09 12:48:01,105,106,2892,3027,739,728,407,136
2019-10-09 13:18:01,104,107,3152,3380,611,730,349,136
2019-10-09 13:48:01,104,107,3411,3671,517,638,316,136
2019-10-09 14:18:01,104,108,3704,4003,533,622,293,136
2019-10-09 14:48:01,102,108,4018,4407,575,711,308,136
2019-10-09 15:18:01,103,108,4375,4715,663,701,294,136
2019-10-09 15:48:01,104,108,4729,5037,664,580,296,136
2019-10-09 16:18:01,104,107,5087,5365,666,610,290,136
2019-10-09 16:48:01,105,105,5327,5632,603,600,284,136
2019-10-09 17:18:01,105,105,5595,5882,498,503,266,136
2019-10-09 17:48:01,105,105,5852,6179,484,530,277,136
2019-10-09 18:18:01,105,104,6119,6442,519,551,266,136
2019-10-09 18:48:01,105,103,6409,6681,498,459,247,136
2019-10-09 19:18:02,105,103,6609,6927,490,485,233,136
2019-10-09 19:49:01,105,102,6944,7299,468,569,228,136
2019-10-09 20:19:01,105,102,7188,7595,506,569,198,136
2019-10-09 20:49:01,105,103,7438,7817,498,521,194,136
2019-10-09 21:19:01,106,103,7629,8099,442,508,185,136
2019-10-09 21:49:01,106,102,7810,8397,376,580,185,136
2019-10-09 22:19:01,106,102,8007,8622,378,523,159,136
2019-10-09 22:49:01,107,101,8183,8804,374,408,154,136
2019-10-09 23:19:01,107,101,8386,9100,378,478,146,136
2019-10-09 23:49:01,108,100,8589,9285,411,485,129,136
2019-10-10 00:19:01,107,99,8731,9413,346,314,102,136
2019-10-10 00:49:01,108,99,8830,9503,265,234,95,136
2019-10-10 01:19:01,107,98,8908,9589,178,184,104,136
2019-10-10 01:49:01,107,99,8973,9620,146,122,97,136
2019-10-10 02:19:01,107,100,9043,9675,135,86,91,136
2019-10-10 02:49:01,107,100,9147,9749,175,129,102,136
2019-10-10 03:19:01,107,101,9299,9871,262,196,125,136
2019-10-10 03:49:01,107,101,9508,10049,368,302,128,136
2019-10-10 04:19:01,107,101,9693,10239,397,368,140,136
2019-10-10 04:49:01,107,100,9869,10495,364,446,162,136
2019-10-10 05:19:01,108,100,10070,10714,380,475,164,136
