Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers
2019-02-08 10:10:01,0,0,0,0,0,0,0
2019-02-08 10:15:01,0,0,0,0,0,0,478
2019-02-08 10:20:01,88,199,198026,195090,816,754,480
2019-02-08 10:25:01,88,198,198095,195136,828,744,480
2019-02-08 10:30:02,88,198,198136,195180,802,689,489
2019-02-08 10:35:01,88,198,198233,195237,832,688,490
2019-02-08 10:40:01,88,198,198327,195321,881,724,478
2019-02-08 10:45:01,87,198,198410,195387,891,730,485
2019-02-08 10:50:01,87,198,198468,195481,913,783,498
2019-02-08 10:55:01,88,199,198552,195578,923,833,505
2019-02-08 11:00:01,89,199,198590,195625,897,806,510
2019-02-08 11:05:02,89,199,198693,195732,889,855,510
2019-02-08 11:10:01,89,198,198779,195846,902,907,500
2019-02-08 11:15:01,90,198,198877,195945,928,932,508
2019-02-08 11:20:01,90,196,198930,196010,904,920,511
2019-02-08 11:25:01,90,195,198982,196093,887,957,507
2019-02-08 11:30:01,90,195,199058,196188,922,1008,506
2019-02-08 11:35:01,91,195,199158,196305,925,1068,511
2019-02-08 11:40:01,91,195,199191,196352,864,1031,520
2019-02-08 11:45:01,91,195,199261,196424,851,1037,527
2019-02-08 11:50:01,91,195,199379,196549,911,1068,529
2019-02-08 11:55:01,91,196,199473,196637,921,1059,532
2019-02-08 12:00:01,91,196,199509,196672,919,1047,545
2019-02-08 12:05:01,90,195,199669,196827,976,1095,549
2019-02-08 12:10:01,91,195,199712,196858,933,1012,547
2019-02-08 12:15:01,93,195,199835,197021,958,1076,555
2019-02-08 12:20:01,93,195,199903,197077,973,1067,548
2019-02-08 12:25:01,93,195,200051,197259,1069,1166,556
2019-02-08 12:30:01,93,195,200082,197326,1024,1138,545
2019-02-08 12:35:01,94,195,200157,197409,999,1104,546
2019-02-08 12:40:02,94,195,200234,197469,1062,1140,545
2019-02-08 12:45:02,94,194,200312,197552,1018,1093,537
2019-02-08 12:50:01,93,195,200433,197680,1054,1131,529
2019-02-08 12:55:01,93,195,200537,197821,1064,1184,521
2019-02-08 13:00:01,93,195,200593,197888,1084,1216,523
2019-02-08 13:05:01,93,195,200717,198035,1048,1208,511
2019-02-08 13:10:01,93,195,200762,198080,1050,1222,519
2019-02-08 13:15:01,94,194,200854,198172,1019,1151,516
2019-02-08 13:20:01,94,193,200922,198250,1019,1173,527
2019-02-08 13:25:01,95,193,201017,198338,966,1079,518
2019-02-08 13:30:01,94,192,201100,198426,1018,1100,512
2019-02-08 13:35:01,95,192,201170,198516,1013,1107,503
2019-02-08 13:40:01,94,192,201217,198565,983,1096,509
2019-02-08 13:45:01,95,192,201303,198630,991,1078,517
2019-02-08 13:50:01,95,192,201362,198692,929,1012,516
2019-02-08 13:55:01,96,192,201452,198758,915,937,505
2019-02-08 14:00:01,95,190,201497,198821,904,933,502
2019-02-08 14:05:02,96,190,201609,198935,923,931,498
2019-02-08 14:10:01,98,189,201639,198991,877,911,493
2019-02-08 14:15:01,98,189,201775,199080,921,908,493
