Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,Target
2019-07-08 10:25:01,106,102,18,16,0,0,767,0
2019-07-08 10:55:01,112,113,567,534,129,145,908,0
2019-07-08 11:25:01,121,121,1347,1302,1335,1301,968,0
2019-07-08 11:55:01,126,123,2056,2010,1450,1445,971,0
2019-07-08 12:25:01,130,123,2758,2798,1472,1553,961,0
2019-07-08 12:55:01,130,124,3776,3760,1751,1786,984,0
2019-07-08 13:25:01,129,124,4957,4863,2192,2023,939,0
2019-07-08 13:55:01,128,125,5907,5795,2158,2062,887,0
2019-07-08 14:25:01,128,125,7035,6859,2061,1974,881,0
2019-07-08 14:55:02,128,125,8080,7842,2189,2053,840,0
2019-07-08 15:26:01,129,123,9014,8831,1938,1889,754,0
2019-07-08 15:56:02,129,122,9842,9706,1736,1863,729,0
2019-07-08 16:27:01,129,122,10505,10472,1484,1613,676,0
2019-07-08 16:57:01,128,121,11305,11134,1502,1481,666,0
2019-07-08 17:27:01,127,120,12315,11999,1821,1535,636,0
2019-07-08 17:57:01,126,119,13020,12744,1524,1501,619,0
2019-07-08 18:27:01,126,119,13494,13291,1149,1261,625,0
2019-07-08 18:57:01,127,117,14020,13765,1009,1038,621,0
2019-07-08 19:27:01,127,118,14609,14237,1145,982,592,0
2019-07-08 19:57:01,128,119,14963,14599,965,852,569,0
2019-07-08 20:27:02,128,119,15503,15024,867,767,559,0
2019-07-08 20:58:01,128,118,15884,15430,922,830,521,0
2019-07-08 21:28:01,128,120,16409,15912,932,914,501,0
2019-07-08 21:58:01,128,119,16893,16434,1031,1035,449,0
2019-07-08 22:28:01,128,118,17442,17148,1096,1265,413,0
2019-07-08 22:58:01,128,118,17946,17580,1045,1138,360,0
2019-07-08 23:28:01,128,118,18451,17924,1023,812,332,0
2019-07-08 23:58:01,129,118,18852,18255,908,683,309,0
2019-07-09 00:28:02,129,116,19181,18548,663,576,298,0
2019-07-09 00:59:01,129,115,19322,18730,472,485,304,0
2019-07-09 01:29:01,132,113,19587,18948,405,439,312,0
2019-07-09 01:59:01,131,125,19800,19187,480,460,322,0
2019-07-09 02:29:01,131,155,20111,19498,503,512,333,0
2019-07-09 02:59:01,131,182,20321,19721,511,524,346,0
2019-07-09 03:29:01,133,199,20653,20063,591,609,364,0
2019-07-09 03:59:01,134,198,21034,20417,704,679,362,0
2019-07-09 04:29:01,134,209,21391,20682,740,611,382,0
2019-07-09 04:59:01,140,221,21745,20997,723,590,406,0
2019-07-09 05:29:01,173,227,22108,21244,661,505,404,0
2019-07-09 05:59:01,213,234,22395,21495,597,473,432,0
2019-07-09 06:29:01,234,234,22698,21801,619,579,450,0
2019-07-09 06:59:01,249,229,23172,22176,784,669,479,0
2019-07-09 07:29:01,257,226,23574,22518,832,666,528,0
2019-07-09 07:59:02,262,224,24249,23097,1063,922,561,0
2019-07-09 08:30:01,264,222,24807,23665,1199,1131,586,0
2019-07-09 09:00:01,264,223,25357,24195,1200,1152,587,0
2019-07-09 09:30:01,262,224,25928,24737,1171,1088,608,0
2019-07-09 10:00:02,259,229,26524,25285,1168,1089,615,0
2019-07-09 10:31:01,259,229,27180,25893,1247,1166,681,0
2019-07-09 11:01:01,258,233,27893,26416,1353,1095,705,0
2019-07-09 11:31:01,258,233,28666,27023,1399,1087,736,0
2019-07-09 12:01:01,258,233,29384,27792,1417,1360,775,0
2019-07-09 12:31:01,255,236,30114,28396,1493,1373,793,0
2019-07-09 13:01:01,255,240,30881,29259,1432,1390,775,0
2019-07-09 13:31:01,256,247,31611,29925,1548,1556,753,0
2019-07-09 14:01:01,253,250,32381,30694,1535,1445,744,0
2019-07-09 14:31:01,252,252,33178,31395,1600,1512,692,0
2019-07-09 15:01:01,249,252,33891,32132,1598,1537,667,0
2019-07-09 15:31:01,250,253,34728,32781,1540,1350,650,0
2019-07-09 16:01:01,252,251,35321,33436,1394,1297,532,0
2019-07-09 16:31:01,252,252,35980,34086,1320,1369,559,0
2019-07-09 17:01:02,252,254,36777,34823,1494,1385,584,0
2019-07-09 17:32:01,248,258,37479,35413,1328,1158,560,0
2019-07-09 18:02:01,247,260,38058,35836,1244,990,563,0
2019-07-09 18:32:01,248,260,38588,36292,1119,892,572,0
2019-07-09 19:02:01,246,258,39181,36836,1122,984,561,0
2019-07-09 19:32:01,244,261,39778,37366,1179,1084,539,0
2019-07-09 20:02:01,242,262,40442,37863,1282,1042,538,0
2019-07-09 20:32:01,242,263,41074,38325,1307,965,513,0
2019-07-09 21:02:02,241,266,41760,38929,1294,1071,463,0
2019-07-09 21:33:01,242,266,42325,39447,1261,1124,442,0
2019-07-09 22:03:01,243,269,42843,40009,1020,1037,410,0
2019-07-09 22:33:01,245,269,43212,40468,891,1028,388,0
2019-07-09 23:03:01,247,266,43600,40871,755,851,365,0
2019-07-09 23:33:01,248,265,43994,41233,744,743,332,0
2019-07-10 00:03:01,249,269,44269,41523,675,666,297,0
2019-07-10 00:33:02,250,268,44543,41829,588,612,294,0
2019-07-10 01:04:01,250,266,44818,42143,522,588,293,0
2019-07-10 01:34:01,251,266,45100,42396,530,527,300,0
2019-07-10 02:04:01,253,264,45421,42689,608,563,313,0
2019-07-10 02:34:01,255,264,45875,43086,774,692,332,0
2019-07-10 03:04:01,254,266,46248,43422,833,734,316,0
2019-07-10 03:34:01,255,266,46634,43774,759,691,328,0
2019-07-10 04:04:01,254,266,47039,44096,791,674,341,0
2019-07-10 04:34:01,255,267,47432,44471,806,703,351,0
2019-07-10 05:04:01,256,269,47808,44823,770,732,354,0
2019-07-10 05:34:01,255,268,48187,45177,756,722,367,0
2019-07-10 06:04:01,257,269,48503,45461,696,641,394,0
2019-07-10 06:34:01,256,269,48869,45822,683,646,427,0
2019-07-10 07:04:01,255,270,49342,46198,836,737,430,0
2019-07-10 07:34:01,254,272,49795,46555,932,736,474,0
2019-07-10 08:04:01,251,276,50290,46941,942,737,471,0
2019-07-10 08:34:01,251,276,50756,47329,962,778,501,0
2019-07-10 09:04:01,252,276,51325,47751,1044,822,494,0
2019-07-10 09:34:01,252,277,51855,48125,1062,757,526,0
2019-07-10 10:04:01,251,275,52257,48457,950,695,552,0
2019-07-10 10:34:01,252,275,52784,48900,944,780,564,0
2019-07-10 11:04:01,254,273,53207,49281,940,811,597,0
2019-07-10 11:34:01,254,270,53665,49632,893,746,620,0
2019-07-10 12:04:01,257,272,54186,50077,991,802,622,0
2019-07-10 12:34:01,256,274,54677,50543,995,893,652,0
2019-07-10 13:04:01,253,276,55242,51071,1056,991,627,0
2019-07-10 13:34:01,253,279,55894,51430,1284,846,641,0
2019-07-10 14:04:02,251,278,56354,51794,1143,748,633,0
2019-07-10 14:35:01,251,278,56989,52341,1098,910,647,0
2019-07-10 15:05:01,251,280,57591,52861,1228,1072,635,0
2019-07-10 15:35:01,249,280,58186,53396,1222,1077,618,0
2019-07-10 16:05:01,251,279,58747,53936,1156,1073,596,0
2019-07-10 16:35:01,249,283,59287,54402,1105,999,567,0
2019-07-10 17:05:01,249,284,59845,54889,1129,981,561,0
2019-07-10 17:35:01,250,281,60440,55322,1167,915,552,0
2019-07-10 18:05:02,247,283,60941,55720,1102,839,522,0
2019-07-10 18:35:02,243,284,61422,56129,983,808,522,0
2019-07-10 19:06:01,243,283,61993,56584,998,807,492,0
2019-07-10 19:36:01,244,280,62563,57050,1094,851,500,0
2019-07-10 20:06:01,242,283,63053,57428,1061,847,499,0
2019-07-10 20:36:01,240,284,63483,57732,1025,754,461,0
2019-07-10 21:06:01,242,285,63876,58040,825,644,426,0
2019-07-10 21:36:01,243,284,64201,58302,705,585,416,0
2019-07-10 22:06:01,241,287,64506,58528,655,516,383,0
2019-07-10 22:36:01,240,291,64927,58805,735,507,355,0
2019-07-10 23:06:01,237,294,65271,59061,773,537,326,0
2019-07-10 23:36:01,235,299,65578,59284,658,498,314,0
2019-07-11 00:06:01,229,300,65905,59524,632,464,299,0
2019-07-11 00:36:01,227,304,66223,59767,677,494,288,0
2019-07-11 01:06:01,226,304,66549,59984,654,468,273,0
2019-07-11 01:36:01,223,305,66813,60249,574,464,263,0
2019-07-11 02:06:01,219,305,67068,60486,520,503,273,0
2019-07-11 02:36:01,213,306,67375,60721,564,470,270,0
2019-07-11 03:06:01,212,309,67646,60921,563,435,292,0
2019-07-11 03:36:01,212,311,67864,61094,498,380,301,0
2019-07-11 04:06:01,209,312,68066,61248,408,331,306,0
2019-07-11 04:36:01,208,316,68314,61391,416,291,303,0
2019-07-11 05:06:01,209,318,68513,61547,465,307,330,0
2019-07-11 05:36:01,206,320,68752,61707,456,323,351,0
2019-07-11 06:06:01,205,322,69050,61899,506,350,378,0
2019-07-11 06:36:01,209,324,69358,62082,612,386,395,0
2019-07-11 07:06:01,206,325,69744,62316,710,428,410,0
2019-07-11 07:36:01,206,326,69943,62479,604,406,418,0
2019-07-11 08:06:01,207,328,70198,62681,454,374,405,0
2019-07-11 08:36:01,200,328,70536,62919,586,439,427,0
2019-07-11 09:06:01,197,334,70830,63179,634,481,448,0
2019-07-11 09:36:01,197,332,71192,63511,599,589,471,0
2019-07-11 10:06:01,198,331,71489,63746,657,551,491,0
2019-07-11 10:36:01,198,332,71846,64013,672,513,546,0
2019-07-11 11:06:01,200,332,72253,64370,764,626,577,0
2019-07-11 11:36:01,199,332,72861,64824,1047,830,606,0
2019-07-11 12:06:01,197,332,73477,65284,1265,942,618,0
2019-07-11 12:36:01,196,331,74422,65866,1517,1029,644,0
2019-07-11 13:06:01,190,333,75053,66325,1558,1017,620,0
2019-07-11 13:36:01,188,333,75652,66741,1283,906,588,0
2019-07-11 14:06:01,184,333,76236,67196,1214,886,574,0
2019-07-11 14:36:01,188,334,76904,67662,1224,897,574,0
2019-07-11 15:06:01,187,334,77591,68165,1361,977,560,0
2019-07-11 15:36:01,187,336,78181,68577,1266,918,546,0
2019-07-11 16:06:01,182,338,78658,68895,1055,736,528,0
2019-07-11 16:36:01,179,344,79145,69286,974,716,540,0
2019-07-11 17:06:01,174,342,79638,69761,984,867,504,0
2019-07-11 17:36:01,180,343,80105,70169,942,890,508,0
2019-07-11 18:06:01,179,344,80544,70520,919,769,477,0
2019-07-11 18:36:01,184,341,81188,71028,1066,855,521,0
2019-07-11 19:06:01,181,344,81734,71463,1197,932,504,0
2019-07-11 19:36:02,180,349,82311,71856,1164,835,474,0
2019-07-11 20:07:01,180,354,82976,72420,1222,938,452,0
2019-07-11 20:37:01,182,354,83563,72780,1281,898,404,0
2019-07-11 21:07:01,182,351,84016,73049,1005,595,384,0
2019-07-11 21:37:01,184,352,84386,73317,833,541,361,0
