Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,ColonialCasualityRateHr,SteamPlayers
2020-07-11 08:11:01,86,96,66,42,80,37,37/hr,557
2020-07-11 08:41:01,133,137,786,662,469,408,408/hr,690
2020-07-11 09:11:01,138,142,1694,1452,1653,1434,1434/hr,732
2020-07-11 09:41:01,138,144,2552,2193,1802,1566,1566/hr,741
2020-07-11 10:11:01,139,145,3408,2946,1707,1503,1503/hr,701
2020-07-11 10:41:01,138,145,4282,3785,1731,1591,1591/hr,679
2020-07-11 11:11:01,138,145,5168,4652,1760,1705,1705/hr,627
2020-07-11 11:41:01,138,145,5864,5354,1582,1569,1569/hr,570
2020-07-11 12:11:01,138,145,6440,5944,1272,1292,1292/hr,539
2020-07-11 12:41:01,138,145,7097,6525,1233,1171,1171/hr,547
2020-07-11 13:11:01,138,144,7818,7229,1379,1286,1286/hr,530
2020-07-11 13:41:01,139,144,8453,7818,1386,1330,1330/hr,508
2020-07-11 14:11:01,138,145,9122,8380,1304,1151,1151/hr,488
2020-07-11 14:41:01,138,145,9744,8904,1292,1104,1104/hr,456
2020-07-11 15:11:02,138,145,10339,9460,1217,1080,1080/hr,441
2020-07-11 15:42:01,138,145,10963,9986,1219,1082,1082/hr,447
2020-07-11 16:12:01,138,145,11610,10640,1288,1198,1198/hr,442
2020-07-11 16:42:01,138,145,12152,11188,1201,1214,1214/hr,412
2020-07-11 17:12:01,138,145,12700,11681,1097,1038,1038/hr,408
2020-07-11 17:42:01,138,145,13197,12114,1059,914,914/hr,395
2020-07-11 18:12:02,138,145,13659,12504,955,830,830/hr,365
2020-07-11 18:43:02,138,145,14101,12830,900,716,716/hr,346
2020-07-11 19:14:02,139,144,14542,13190,889,701,701/hr,383
2020-07-11 19:45:01,139,144,15033,13590,932,760,760/hr,378
2020-07-11 20:15:01,139,144,15643,14005,1098,801,801/hr,346
2020-07-11 20:45:01,138,145,16114,14329,1047,703,703/hr,336
2020-07-11 21:15:01,138,145,16594,14659,962,664,664/hr,348
2020-07-11 21:45:02,138,145,17002,15069,886,745,745/hr,345
2020-07-11 22:16:01,138,145,17550,15446,956,787,787/hr,341
2020-07-11 22:46:01,138,145,18040,15811,1043,746,746/hr,328
2020-07-11 23:16:01,138,145,18491,16122,934,686,686/hr,311
2020-07-11 23:46:01,138,145,18911,16442,871,631,631/hr,304
2020-07-12 00:16:01,138,145,19382,16762,899,639,639/hr,303
2020-07-12 00:46:01,138,145,19718,17053,792,612,612/hr,317
2020-07-12 01:16:01,137,145,20020,17318,641,549,549/hr,288
2020-07-12 01:46:01,137,145,20243,17490,525,437,437/hr,272
2020-07-12 02:16:01,137,146,20531,17683,511,365,365/hr,277
2020-07-12 02:46:01,136,147,20849,17911,606,421,421/hr,297
2020-07-12 03:16:01,135,147,21159,18173,589,489,489/hr,309
2020-07-12 03:46:01,135,147,21503,18445,654,530,530/hr,311
2020-07-12 04:16:01,135,147,21810,18693,604,493,493/hr,316
2020-07-12 04:46:01,135,147,22083,18934,579,489,489/hr,353
2020-07-12 05:16:01,135,147,22444,19202,640,515,515/hr,371
2020-07-12 05:46:01,137,146,22867,19567,829,673,673/hr,375
2020-07-12 06:16:01,138,145,23342,19910,905,710,710/hr,394
2020-07-12 06:46:01,138,145,23830,20293,963,726,726/hr,409
2020-07-12 07:16:01,138,145,24209,20772,868,864,864/hr,404
2020-07-12 07:46:02,137,145,24670,21234,840,940,940/hr,412
2020-07-12 08:17:01,136,146,25165,21743,928,938,938/hr,439
2020-07-12 08:47:01,137,146,25723,22309,1043,1072,1072/hr,427
2020-07-12 09:17:01,137,146,26252,22856,1096,1123,1123/hr,450
2020-07-12 09:47:01,137,146,26811,23334,1095,1032,1032/hr,490
2020-07-12 10:17:01,137,146,27324,23871,1073,1016,1016/hr,505
2020-07-12 10:47:01,138,145,27943,24507,1137,1178,1178/hr,479
2020-07-12 11:17:01,138,145,28534,25081,1263,1237,1237/hr,486
2020-07-12 11:47:01,138,145,29067,25524,1123,1007,1007/hr,485
2020-07-12 12:17:01,138,145,29586,26030,1042,940,940/hr,481
2020-07-12 12:47:01,138,145,30110,26488,1062,965,965/hr,471
2020-07-12 13:17:02,138,145,30642,26987,1059,958,958/hr,480
2020-07-12 13:48:01,138,145,31261,27453,1134,950,950/hr,457
2020-07-12 14:18:01,137,145,31918,27904,1268,896,896/hr,466
2020-07-12 14:48:01,137,145,32457,28342,1162,868,868/hr,457
2020-07-12 15:18:01,137,145,33071,28765,1135,848,848/hr,432
2020-07-12 15:48:01,136,146,33575,29163,1118,821,821/hr,404
2020-07-12 16:18:01,136,146,34119,29633,1026,837,837/hr,384
2020-07-12 16:48:02,136,146,34595,29995,991,805,805/hr,372
2020-07-12 17:19:01,136,146,35085,30339,930,652,652/hr,355
2020-07-12 17:49:01,136,146,35447,30634,852,639,639/hr,381
2020-07-12 18:19:01,136,146,35934,31021,828,675,675/hr,387
2020-07-12 18:49:01,136,146,36449,31413,963,753,753/hr,396
2020-07-12 19:19:01,136,146,36863,31801,931,780,780/hr,365
2020-07-12 19:49:01,136,146,37319,32146,870,733,733/hr,366
2020-07-12 20:19:01,136,146,37747,32488,884,685,685/hr,368
2020-07-12 20:49:01,136,146,38189,32789,876,635,635/hr,335
2020-07-12 21:19:01,136,146,38523,33107,681,574,574/hr,324
2020-07-12 21:49:01,137,145,38822,33419,631,630,630/hr,308
2020-07-12 22:19:01,136,146,39200,33741,676,634,634/hr,289
2020-07-12 22:49:01,136,146,39509,33972,660,510,510/hr,271
2020-07-12 23:19:02,136,146,39751,34158,553,422,422/hr,245
2020-07-12 23:50:01,136,146,40044,34382,455,345,345/hr,232
2020-07-13 00:20:01,136,146,40235,34515,402,299,299/hr,234
2020-07-13 00:50:01,135,147,40394,34655,350,274,274/hr,218
2020-07-13 01:20:02,134,148,40626,34810,405,301,301/hr,219
2020-07-13 01:51:01,134,148,40807,34921,414,268,268/hr,221
2020-07-13 02:21:01,134,148,40970,35073,345,266,266/hr,212
2020-07-13 02:51:02,134,148,41178,35265,372,344,344/hr,221
2020-07-13 03:22:01,133,148,41415,35445,448,376,376/hr,249
2020-07-13 03:52:01,133,148,41662,35635,486,372,372/hr,259
2020-07-13 04:22:01,133,148,41913,35800,525,333,333/hr,280
2020-07-13 04:52:01,133,148,42125,35957,464,323,323/hr,280
2020-07-13 05:22:01,133,148,42441,36144,528,345,345/hr,306
2020-07-13 05:52:01,133,148,42716,36373,591,416,416/hr,290
2020-07-13 06:22:01,133,149,43017,36658,579,519,519/hr,285
2020-07-13 06:52:01,133,149,43381,36941,669,589,589/hr,287
2020-07-13 07:22:01,133,149,43683,37190,665,530,530/hr,294
2020-07-13 07:52:01,133,149,44003,37423,622,482,482/hr,342
2020-07-13 08:22:01,133,149,44278,37713,597,522,522/hr,373
2020-07-13 08:52:01,133,149,44578,37996,582,573,573/hr,369
2020-07-13 09:22:01,133,149,44949,38296,669,576,576/hr,381
2020-07-13 09:52:01,133,154,45330,38583,784,616,616/hr,419
2020-07-13 10:22:01,133,156,45735,38926,819,648,648/hr,423
2020-07-13 10:52:01,133,156,46124,39252,793,670,670/hr,414
2020-07-13 11:22:01,134,155,46614,39615,880,690,690/hr,401
2020-07-13 11:52:02,134,154,47055,39978,991,759,759/hr,420
2020-07-13 12:23:01,134,155,47521,40415,909,800,800/hr,428
2020-07-13 12:53:01,134,154,48011,40897,953,919,919/hr,434
2020-07-13 13:23:01,134,154,48521,41404,984,959,959/hr,460
2020-07-13 13:53:02,134,154,49120,41893,1109,996,996/hr,444
2020-07-13 14:24:01,134,154,49693,42375,1182,983,983/hr,413
2020-07-13 14:54:01,134,154,50226,42722,1086,774,774/hr,394
2020-07-13 15:24:01,134,154,50788,43063,1104,692,692/hr,382
2020-07-13 15:54:01,134,155,51158,43339,931,617,617/hr,400
2020-07-13 16:24:01,131,158,51504,43650,725,592,592/hr,400
2020-07-13 16:54:01,131,157,51878,43995,723,657,657/hr,401
2020-07-13 17:24:01,132,157,52310,44324,812,677,677/hr,368
2020-07-13 17:54:01,132,157,52674,44603,796,609,609/hr,378
2020-07-13 18:24:01,132,156,53082,44939,776,625,625/hr,386
2020-07-13 18:54:01,133,156,53443,45342,724,716,716/hr,406
2020-07-13 19:24:01,134,155,53994,45745,913,807,807/hr,399
2020-07-13 19:54:01,134,155,54547,46238,1105,896,896/hr,383
2020-07-13 20:24:01,134,155,55076,46692,1081,947,947/hr,373
2020-07-13 20:54:01,134,155,55502,47075,955,837,837/hr,335
2020-07-13 21:24:01,134,155,55986,47377,910,684,684/hr,324
2020-07-13 21:54:01,134,155,56345,47653,842,580,580/hr,303
2020-07-13 22:24:01,134,155,56710,47911,762,572,572/hr,276
2020-07-13 22:54:01,133,155,56945,48100,600,446,446/hr,255
2020-07-13 23:24:01,132,156,57154,48235,436,311,311/hr,249
2020-07-13 23:54:01,131,156,57373,48356,432,251,251/hr,237
2020-07-14 00:24:01,131,157,57608,48525,461,296,296/hr,245
2020-07-14 00:54:01,131,157,57822,48692,449,335,335/hr,255
2020-07-14 01:24:01,131,156,58090,48896,483,371,371/hr,256
2020-07-14 01:54:01,131,157,58314,49045,497,353,353/hr,251
2020-07-14 02:24:01,131,157,58547,49161,463,265,265/hr,245
2020-07-14 02:54:01,130,158,58711,49250,388,197,197/hr,228
2020-07-14 03:24:01,129,158,58837,49344,293,185,185/hr,237
2020-07-14 03:54:01,129,158,58925,49419,202,176,176/hr,249
2020-07-14 04:24:01,129,158,59055,49553,218,210,210/hr,268
2020-07-14 04:54:01,129,158,59237,49709,312,291,291/hr,284
2020-07-14 05:24:01,129,158,59446,49880,382,327,327/hr,312
2020-07-14 05:54:01,129,158,59687,50064,449,355,355/hr,322
2020-07-14 06:24:01,129,158,59960,50259,514,382,382/hr,328
2020-07-14 06:54:01,129,158,60238,50491,552,427,427/hr,337
2020-07-14 07:24:01,129,159,60496,50709,534,438,438/hr,332
2020-07-14 07:54:01,129,159,60769,50932,534,442,442/hr,357
2020-07-14 08:24:01,129,158,61034,51150,541,444,444/hr,376
2020-07-14 08:54:01,130,157,61359,51418,602,488,488/hr,389
2020-07-14 09:24:01,130,157,61707,51641,661,478,478/hr,399
2020-07-14 09:54:01,130,158,61959,51868,610,455,455/hr,407
2020-07-14 10:24:01,130,158,62275,52129,550,484,484/hr,424
2020-07-14 10:54:01,130,158,62704,52461,747,595,595/hr,442
2020-07-14 11:24:01,130,158,63174,52799,910,701,701/hr,447
2020-07-14 11:54:02,130,158,63566,53072,827,598,598/hr,463
2020-07-14 12:25:02,130,158,63942,53376,767,580,580/hr,424
2020-07-14 12:56:01,130,158,64298,53675,738,608,608/hr,427
2020-07-14 13:26:01,130,158,64657,54012,717,633,633/hr,430
2020-07-14 13:56:01,131,157,65077,54327,745,584,584/hr,445
2020-07-14 14:26:01,131,157,65446,54669,811,665,665/hr,431
2020-07-14 14:56:01,131,158,65879,55015,802,688,688/hr,419
2020-07-14 15:26:01,131,158,66256,55292,772,559,559/hr,412
2020-07-14 15:56:01,131,158,66570,55592,692,578,578/hr,414
2020-07-14 16:26:01,131,158,66976,55911,750,638,638/hr,409
2020-07-14 16:56:01,131,158,67385,56173,764,532,532/hr,399
2020-07-14 17:26:01,131,157,67713,56411,717,480,480/hr,417
2020-07-14 17:56:01,131,157,67986,56593,602,425,425/hr,405
2020-07-14 18:26:01,131,157,68353,56865,673,454,454/hr,406
2020-07-14 18:56:01,131,157,68665,57175,641,578,578/hr,392
2020-07-14 19:26:01,131,157,68965,57434,606,574,574/hr,363
