Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers
2019-12-31 08:47:01,160,126,192,182,18,0,1365
2019-12-31 09:17:01,183,188,1383,1394,1383,1394,1496
2019-12-31 09:47:01,189,187,2880,2787,2684,2602,1539
2019-12-31 10:17:01,193,189,4281,4115,2794,2620,1495
2019-12-31 10:47:01,195,191,5992,5699,3051,2868,1443
2019-12-31 11:17:01,197,191,7607,7251,3333,3141,1322
2019-12-31 11:47:01,196,192,9208,8890,3210,3203,1264
2019-12-31 12:17:01,195,194,10701,10389,3046,3055,1191
2019-12-31 12:47:01,195,195,12157,11795,2918,2900,1120
2019-12-31 13:17:01,195,195,13441,13080,2740,2691,1102
2019-12-31 13:47:01,195,194,14830,14309,2673,2514,1086
2019-12-31 14:17:01,197,192,16091,15513,2677,2461,1060
2019-12-31 14:47:01,196,192,17482,17058,2665,2752,1066
2019-12-31 15:17:01,195,191,18777,18330,2659,2807,1008
2019-12-31 15:47:01,198,191,19980,19669,2462,2574,990
2019-12-31 16:17:01,199,189,21121,20706,2279,2295,969
2019-12-31 16:47:01,201,187,22259,21653,2267,1944,918
2019-12-31 17:17:01,202,186,23347,22692,2197,1957,892
2019-12-31 17:47:01,201,185,24243,23517,2064,1931,878
2019-12-31 18:17:02,202,186,25255,24513,1990,1880,888
2019-12-31 18:48:01,201,185,26206,25595,1964,2080,935
2019-12-31 19:18:01,199,186,27237,26707,1978,2161,938
2019-12-31 19:48:01,199,186,28322,27901,2067,2291,950
2019-12-31 20:18:01,200,185,29451,29089,2161,2334,948
2019-12-31 20:48:01,201,184,30437,30121,2081,2159,930
2019-12-31 21:18:01,202,184,31250,31137,1801,2058,935
2019-12-31 21:48:01,201,184,32213,32224,1775,2095,935
2019-12-31 22:18:01,201,183,33199,33193,1929,2037,896
2019-12-31 22:48:01,202,182,34099,34084,1761,1724,914
2019-12-31 23:18:01,200,185,34956,34982,1779,1807,889
2019-12-31 23:48:01,200,185,35871,35866,1774,1783,887
2020-01-01 00:18:01,200,181,36769,36805,1846,1856,896
2020-01-01 00:48:01,202,181,37728,37826,1811,1937,874
2020-01-01 01:18:01,197,182,38558,38525,1743,1657,854
2020-01-01 01:48:01,196,185,39319,39317,1592,1491,844
2020-01-01 02:18:01,196,184,40171,40155,1613,1630,870
2020-01-01 02:48:01,195,184,41077,40958,1758,1647,928
2020-01-01 03:18:01,197,184,41973,41846,1729,1622,984
2020-01-01 03:48:01,196,185,42673,42777,1597,1820,1068
2020-01-01 04:18:01,195,185,43358,43689,1359,1832,1092
2020-01-01 04:48:01,194,184,44280,44906,1570,2054,1137
2020-01-01 05:18:01,194,185,45288,46089,2011,2493,1199
2020-01-01 05:48:01,192,187,46512,47521,2237,2601,1276
