Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,Target
2019-11-14 09:34:01,74,82,67,71,15,13,378,0
2019-11-14 10:04:01,117,123,368,454,368,454,427,0
2019-11-14 10:34:01,118,128,757,918,700,867,438,0
2019-11-14 11:04:01,118,129,1318,1386,883,856,446,0
2019-11-14 11:34:01,119,128,1829,1870,1086,966,438,0
2019-11-14 12:04:02,119,128,2369,2403,1031,996,456,0
2019-11-14 12:35:01,120,128,3119,3102,1292,1227,425,0
2019-11-14 13:05:01,121,128,3707,3697,1304,1284,388,0
2019-11-14 13:35:01,122,131,4251,4313,1058,1137,358,0
2019-11-14 14:05:02,123,131,4786,4785,1013,1030,343,0
2019-11-14 14:36:01,117,98,5506,5381,1075,902,297,0
2019-11-14 15:06:01,123,130,6017,5833,1085,904,292,0
2019-11-14 15:36:01,122,130,6407,6240,891,855,270,0
2019-11-14 16:06:02,122,131,6739,6590,696,768,263,0
2019-11-14 16:36:02,122,131,7089,7011,776,870,269,0
2019-11-14 17:07:01,122,131,7481,7438,742,848,272,0
2019-11-14 17:37:01,122,131,7819,7842,730,831,268,0
2019-11-14 18:07:01,121,131,8225,8265,744,827,245,0
2019-11-14 18:37:01,122,131,8600,8656,781,815,245,0
2019-11-14 19:07:01,122,130,8944,9022,719,758,235,0
2019-11-14 19:37:01,122,131,9253,9425,653,770,245,0
2019-11-14 20:07:01,122,130,9656,9837,712,818,236,0
2019-11-14 20:37:01,124,130,9860,10097,607,675,209,0
2019-11-14 21:07:01,124,130,10017,10289,361,453,181,0
2019-11-14 21:37:01,123,130,10186,10496,325,398,158,0
2019-11-14 22:07:01,124,130,10356,10634,340,345,161,0
2019-11-14 22:37:01,124,130,10541,10843,357,348,154,0
2019-11-14 23:07:01,123,129,10696,11042,326,409,149,0
2019-11-14 23:37:01,123,130,10837,11193,297,351,132,0
2019-11-15 00:07:01,123,130,10963,11322,267,280,125,0
2019-11-15 00:37:01,123,130,11082,11457,248,266,125,0
2019-11-15 01:07:02,123,130,11215,11588,255,280,138,0
2019-11-15 01:38:01,123,130,11390,11719,323,274,139,0
2019-11-15 02:08:01,123,130,11574,11895,361,316,139,0
2019-11-15 02:38:01,124,129,11757,12116,370,422,152,0
2019-11-15 03:08:01,125,127,11911,12266,339,374,150,0
2019-11-15 03:38:01,124,128,12022,12371,265,255,153,0
2019-11-15 04:08:01,124,128,12148,12490,237,225,149,0
2019-11-15 04:38:01,124,127,12279,12638,267,287,168,0
2019-11-15 05:08:01,123,129,12521,12854,369,364,176,0
2019-11-15 05:38:01,123,129,12711,13063,432,427,176,0
2019-11-15 06:08:01,123,129,12975,13256,471,374,199,0
2019-11-15 06:38:02,122,130,13169,13482,456,420,202,0
2019-11-15 07:09:02,120,130,13304,13620,332,364,212,0
2019-11-15 07:40:01,120,131,13430,13720,264,240,256,0
2019-11-15 08:10:01,120,130,13618,13918,320,297,270,0
2019-11-15 08:40:01,119,130,13873,14116,443,387,284,0
2019-11-15 09:10:01,120,131,14167,14382,551,464,293,0
2019-11-15 09:40:01,120,131,14465,14731,593,616,298,0
2019-11-15 10:10:01,120,131,14844,15167,679,786,289,0
2019-11-15 10:40:01,121,131,15205,15513,770,801,301,0
2019-11-15 11:10:02,121,131,15394,15738,555,574,321,0
2019-11-15 11:41:01,122,130,15653,16037,466,542,328,0
2019-11-15 12:11:01,122,130,15979,16316,585,578,360,0
2019-11-15 12:41:01,122,130,16423,16723,753,701,373,0
2019-11-15 13:11:01,122,130,16827,17138,850,821,362,0
2019-11-15 13:41:01,121,131,17223,17503,765,778,337,0
2019-11-15 14:11:01,119,133,17466,17763,571,580,340,0
2019-11-15 14:41:01,118,133,17696,17987,453,472,280,0
2019-11-15 15:11:02,118,133,17944,18255,446,481,263,0
2019-11-15 15:42:01,118,133,18125,18406,492,485,279,0
2019-11-15 16:12:01,117,132,18443,18674,673,578,258,0
2019-11-15 16:42:01,116,134,18677,18874,659,498,252,0
2019-11-15 17:12:01,115,134,18854,19031,396,340,246,0
2019-11-15 17:42:01,116,134,19023,19254,346,383,252,0
2019-11-15 18:12:01,115,135,19309,19527,480,522,254,0
2019-11-15 18:42:01,116,135,19605,19712,581,438,254,0
2019-11-15 19:12:01,116,135,19858,19978,503,430,252,0
2019-11-15 19:42:01,117,134,20140,20281,539,571,248,0
2019-11-15 20:12:01,117,134,20365,20604,511,638,259,0
2019-11-15 20:42:01,117,134,20714,20931,610,669,263,0
2019-11-15 21:12:01,118,133,20998,21203,614,577,250,0
