Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2024-03-14 13:01:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:02:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:03:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:04:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:05:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:06:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:07:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:08:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2138,372584,321682,0,0,0,0,0,0
2024-03-14 13:38:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2122,372584,321682,0,0,0,0,0,0
2024-03-14 13:39:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2122,372584,321682,0,0,0,0,0,0
2024-03-14 13:40:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2122,372584,321682,0,0,0,0,0,0
2024-03-14 13:41:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2122,372584,321682,0,0,0,0,0,0
2024-03-14 13:42:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2122,372584,321682,0,0,0,0,0,0
2024-03-14 13:43:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2136,372584,321682,0,0,0,0,0,0
2024-03-14 13:44:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2122,372584,321682,0,0,0,0,0,0
2024-03-14 13:45:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2136,372584,321682,0,0,0,0,0,0
2024-03-14 14:18:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2050,372584,321682,0,0,0,0,0,0
2024-03-14 14:17:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2050,372584,321682,0,0,0,0,0,0
2024-03-14 14:19:01,944,872,0,0,0,0,0,0/hr,0,0/hr,2050,372615,321711,23,3,72,0,0,0
2024-03-14 14:16:01,0,0,0,0,0,0,0,0/hr,0,0/hr,2050,372615,321711,0,0,0,0,0,0
2024-03-14 14:15:02,0,0,0,0,0,0,0,0/hr,0,0/hr,2050,372615,321711,0,0,0,0,0,0
2024-03-14 14:21:01,945,878,0,0,0,0,0,0/hr,0,0/hr,2050,372709,321799,22,3,67,0,0,0
2024-03-14 14:20:01,944,876,0,0,0,0,0,0/hr,0,0/hr,0,372694,321784,22,3,68,0,0,0
2024-03-14 14:50:02,890,841,350,234,943296,1051479,3254,3254/hr,3524,3524/hr,1982,373139,322205,21,3,49,0,0,0
2024-03-14 15:21:01,834,788,348,235,944596,1052648,2847,2847/hr,2834,2834/hr,1818,373570,322612,25,9,46,0,0,0
2024-03-14 15:51:01,792,791,348,236,945714,1053964,2335,2335/hr,2450,2450/hr,0,373966,323007,15,2,1,0,0,0
2024-03-14 16:21:01,724,759,347,235,946806,1055312,2052,2052/hr,2514,2514/hr,0,374328,323387,7,1,0,35,0,0
2024-03-14 16:51:01,723,728,345,238,947729,1056466,1854,1854/hr,2260,2260/hr,1620,374689,323751,11,4,0,5,0,0
2024-03-14 17:21:01,687,693,345,236,948578,1057523,1798,1798/hr,2247,2247/hr,1560,375033,324097,29,6,0,6,0,0
2024-03-14 17:51:01,699,701,347,237,949391,1058369,1717,1717/hr,1965,1965/hr,1544,375382,324448,2,3,0,2,0,0
2024-03-14 18:21:01,675,685,346,237,950331,1059282,1755,1755/hr,1756,1756/hr,1496,375720,324790,6,4,0,10,0,0
2024-03-14 18:51:01,631,699,346,237,951271,1060133,1876,1876/hr,1764,1764/hr,1495,376035,325140,8,14,0,68,0,0
2024-03-14 19:21:01,632,700,345,239,952105,1061001,1706,1706/hr,1656,1656/hr,1463,376351,325490,0,1,0,68,0,0
2024-03-14 19:51:01,608,660,344,240,952909,1062020,1540,1540/hr,1793,1793/hr,1418,376655,325820,1,0,0,52,0,0
2024-03-14 20:21:01,569,618,345,240,953749,1063030,1646,1646/hr,2030,2030/hr,1328,376940,326129,0,0,0,49,0,0
2024-03-14 20:51:01,562,573,345,240,954474,1063995,1554,1554/hr,1976,1976/hr,1270,377221,326415,1,0,0,11,0,0
2024-03-14 21:21:01,509,540,345,240,955263,1064840,1470,1470/hr,1722,1722/hr,1185,377475,326685,0,0,0,31,0,0
2024-03-14 21:51:02,503,529,345,240,955994,1065782,1517,1517/hr,1803,1803/hr,1138,377727,326950,0,0,0,26,0,0
2024-03-14 22:22:01,467,456,344,240,956681,1066544,1421,1421/hr,1606,1606/hr,1053,377968,327186,7,2,11,0,0,0
2024-03-14 22:52:01,427,453,345,239,957349,1067299,1412,1412/hr,1585,1585/hr,1051,378181,327412,11,3,0,26,0,0
2024-03-14 23:22:01,417,432,342,241,958106,1068001,1384,1384/hr,1360,1360/hr,974,378390,327628,6,0,0,15,0,0
2024-03-14 23:52:01,436,391,343,241,958639,1068633,1364,1364/hr,1428,1428/hr,989,378608,327824,11,7,45,0,0,0
2024-03-15 00:22:01,446,416,343,240,959094,1069070,995,995/hr,1073,1073/hr,964,378831,328032,4,0,30,0,0,0
2024-03-15 00:52:01,424,405,344,239,959557,1069552,943,943/hr,988,988/hr,975,379043,328234,2,0,19,0,0,0
