Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,WinMargin
2023-07-28 09:53:01,0,1,140,151,0,0,0,0,2463,0,0,336
2023-07-28 10:23:01,1716,1865,253,248,1548,1794,2463,2873,3946,858,932,336
2023-07-28 10:53:03,1807,2016,262,263,5520,5636,7326,7393,4249,1762,1941,336
2023-07-28 11:24:03,1829,1995,263,262,9122,9325,7781,7898,4241,2707,2972,336
2023-07-28 11:55:02,1745,1952,263,262,12959,13185,7375,7592,4068,3608,3980,336
2023-07-28 12:26:01,1650,1794,264,261,16212,16679,6990,7246,3844,4460,4906,336
2023-07-28 12:56:02,1598,1719,263,262,19362,20355,6284,7045,3639,5260,5766,336
2023-07-28 13:27:02,1490,1576,264,262,22539,23608,6266,6826,3502,6029,6581,336
2023-07-28 13:58:01,1391,1496,264,262,25565,27035,6071,6491,3228,6748,7353,336
2023-07-28 14:28:02,1297,1445,261,264,28243,29981,5512,6137,3073,7397,8076,336
2023-07-28 14:59:01,1183,1369,260,265,30602,32474,4985,5305,2856,8007,8783,336
2023-07-28 15:29:01,1128,1304,259,266,32531,34910,4142,4777,2650,8571,9435,336
2023-07-28 15:59:02,1033,1183,258,266,34754,37420,3962,4775,2540,9088,10027,336
2023-07-28 16:30:01,1011,1145,258,266,36664,39811,3975,4749,2412,9610,10618,336
2023-07-28 17:00:09,940,1077,257,266,38804,42081,3869,4393,2242,10082,11159,336
2023-07-28 17:31:02,871,1016,257,267,40947,44422,3557,3743,2168,10531,11682,336
2023-07-28 18:02:01,815,959,256,268,42449,46357,3046,3688,2064,10952,12177,336
2023-07-28 18:32:01,809,955,255,269,43945,47881,2998,3429,1994,11356,12655,336
2023-07-28 19:02:01,803,924,255,268,45241,49420,2792,3040,1935,11758,13117,336
2023-07-28 19:32:01,763,921,253,270,46742,50950,2951,3209,1903,12139,13577,336
2023-07-28 20:02:02,779,907,253,270,48251,52470,3010,3022,1876,12529,14031,336
2023-07-28 20:33:01,767,913,253,270,49897,54202,3155,3223,1851,12925,14502,336
2023-07-28 21:03:01,709,874,252,271,51643,55915,3502,3511,1789,13279,14939,336
2023-07-28 21:33:01,688,815,251,272,53032,57017,3098,2734,1751,13623,15347,336
2023-07-28 22:03:01,675,763,249,272,54199,58155,2556,2231,1621,13961,15728,336
2023-07-28 22:33:01,644,725,250,270,55454,59265,2423,2230,1579,14283,16091,336
2023-07-28 23:03:01,641,697,249,270,56737,60262,2648,2185,1529,14603,16439,336
2023-07-28 23:33:01,645,709,248,271,57749,61105,2220,1765,1486,14926,16794,336
2023-07-29 00:03:01,630,688,248,271,58613,61825,1862,1541,1488,15241,17138,336
2023-07-29 00:33:02,619,651,246,271,59558,62651,1807,1525,1429,15551,17463,336
2023-07-29 01:04:01,667,676,246,273,60428,63487,1866,1711,1500,15895,17812,336
2023-07-29 01:34:01,695,686,246,273,61208,64256,1655,1591,1525,16242,18155,336
2023-07-29 02:04:02,729,701,245,273,62065,65103,1624,1623,1575,16607,18506,336
2023-07-29 02:35:02,762,751,246,273,62950,65973,1744,1727,1676,17001,18894,336
2023-07-29 03:06:01,802,788,245,273,64027,67016,1958,1866,1750,17415,19301,336
2023-07-29 03:36:01,832,799,245,274,65144,67906,2185,1856,1816,17831,19701,336
2023-07-29 04:06:01,888,864,245,274,66418,68944,2368,1904,1941,18275,20133,336
2023-07-29 04:36:01,916,905,245,274,67672,70027,2532,2117,2016,18733,20585,336
2023-07-29 05:06:01,942,939,245,274,69022,71245,2638,2310,2073,19204,21055,336
2023-07-29 05:36:01,982,969,245,274,70632,72631,2910,2554,2150,19695,21539,336
2023-07-29 06:06:01,1025,1001,245,274,72266,74242,3223,2994,2237,20208,22040,336
2023-07-29 06:36:01,1036,1085,245,274,73890,75681,3248,2981,2315,20726,22582,336
2023-07-29 07:06:01,1064,1118,245,274,75617,77625,3319,3340,2386,21258,23141,336
2023-07-29 07:36:01,1088,1152,245,274,77341,79421,3330,3632,2469,21802,23717,336
2023-07-29 08:06:02,1128,1159,244,274,79070,81241,3487,3633,2554,22366,24297,336
2023-07-29 08:37:01,1163,1221,244,274,80999,83349,3475,3779,2621,22966,24927,336
2023-07-29 09:07:01,1187,1211,243,275,82937,85567,3877,4293,2652,23560,25533,336
2023-07-29 09:37:01,1185,1220,243,275,85247,87466,4030,3769,2654,24152,26143,336
2023-07-29 10:07:01,1152,1211,242,275,87667,89821,4711,4247,2641,24728,26748,336
2023-07-29 10:37:02,1126,1243,241,275,90110,92117,4897,4664,2627,25292,27370,336
2023-07-29 11:08:01,1164,1299,240,276,92494,94714,4934,4962,2679,25893,28041,336
2023-07-29 11:38:01,1116,1285,237,278,94577,97335,4248,5047,2623,26451,28684,336
2023-07-29 12:08:01,1129,1283,237,278,96945,99740,4377,4938,2652,27015,29325,336
2023-07-29 12:38:01,1100,1284,237,278,99303,101945,4658,4482,2602,27565,29967,336
2023-07-29 13:08:02,1083,1241,237,278,101433,104215,4332,4421,2562,28107,30588,336
2023-07-29 13:38:02,1034,1223,236,278,103255,106052,3867,3930,2524,28624,31199,336
2023-07-29 14:09:01,1010,1199,236,278,105436,108312,3909,4009,2396,29146,31819,336
2023-07-29 14:39:02,948,1186,235,279,107362,110429,4154,4421,2337,29620,32412,336
2023-07-29 15:10:01,924,1168,234,280,109068,112506,3413,3949,2302,30097,33015,336
2023-07-29 15:40:02,881,1091,232,282,110826,114407,3127,3567,2186,30538,33561,336
2023-07-29 16:11:01,828,1022,228,284,113271,116848,3644,3743,2042,30965,34089,336
2023-07-29 16:41:01,800,955,227,284,114951,118405,3496,3248,1936,31365,34566,336
2023-07-29 17:11:01,760,905,226,285,116787,119609,3517,2745,1885,31745,35019,336
2023-07-29 17:41:01,682,849,226,285,118466,120681,3515,2260,1747,32086,35443,336
2023-07-29 18:11:01,651,809,225,286,119483,121499,2696,1867,1652,32412,35848,336
2023-07-29 18:41:02,642,827,224,286,120539,122387,2224,1799,1631,32733,36261,336
2023-07-29 19:12:01,664,836,223,287,121492,123393,2012,1893,1652,33076,36693,336
2023-07-29 19:42:01,682,834,223,287,122575,124567,2036,2178,1684,33417,37110,336
2023-07-29 20:12:01,651,834,223,287,123561,125653,2135,2336,1641,33742,37527,336
2023-07-29 20:42:01,655,813,223,287,124670,126700,2095,2117,1633,34070,37934,336
2023-07-29 21:12:02,632,790,222,288,125740,127778,2181,2118,1604,34386,38329,336
2023-07-29 21:43:02,625,804,223,287,126631,128662,1961,1955,1556,34709,38744,336
2023-07-29 22:14:01,600,781,223,287,127577,129695,1838,1909,1556,35019,39147,336
2023-07-29 22:44:01,586,748,220,289,128422,130772,1773,2103,1524,35312,39521,336
2023-07-29 23:14:02,575,738,220,289,129146,131466,1583,1772,1470,35599,39891,336
2023-07-29 23:45:01,582,725,219,289,129953,132289,1538,1518,1458,35900,40265,336
2023-07-30 00:15:02,608,714,219,289,130888,133213,1749,1744,1465,36204,40622,336
2023-07-30 00:46:01,599,736,219,289,132006,134267,2088,2035,1473,36514,41002,336
2023-07-30 01:16:01,641,739,218,290,133009,135318,2089,2068,1541,36834,41372,336
2023-07-30 01:46:01,660,728,217,291,134026,136480,2054,2254,1564,37164,41736,336
2023-07-30 02:16:01,714,769,217,291,135172,137618,2152,2314,1636,37521,42120,336
2023-07-30 02:46:01,773,776,217,291,136478,138728,2592,2333,1702,37908,42508,336
2023-07-30 03:16:01,799,796,217,291,137945,140003,2807,2423,1769,38307,42906,336
2023-07-30 03:46:01,811,843,218,290,139270,141371,2750,2591,1814,38713,43328,336
2023-07-30 04:16:01,842,901,218,290,140636,142810,2730,2849,1906,39134,43778,336
2023-07-30 04:46:01,886,914,219,288,141906,144144,2649,2747,1989,39577,44235,336
2023-07-30 05:16:01,944,950,219,288,143313,145426,2659,2570,2082,40049,44710,336
2023-07-30 05:46:01,968,1015,220,287,144874,146869,3037,2787,2185,40533,45218,336
2023-07-30 06:16:01,1001,1070,222,286,146601,148715,3376,3333,2310,41033,45753,336
2023-07-30 06:46:01,957,1122,222,286,148544,150550,3742,3726,2322,41512,46314,336
2023-07-30 07:16:01,1022,1180,220,288,150481,152267,3883,3513,2382,42023,46904,336
2023-07-30 07:46:01,1061,1197,221,287,152476,154302,3878,3691,2456,42553,47502,336
2023-07-30 08:16:01,1097,1215,221,287,154721,156218,4347,4034,2538,43102,48110,336
2023-07-30 08:46:01,1079,1222,221,287,156762,158030,4194,3669,2537,43641,48721,336
2023-07-30 09:16:01,1103,1226,220,288,158685,159945,3898,3726,2560,44193,49334,336
2023-07-30 09:46:01,1129,1167,220,288,160697,161609,3953,3507,2565,44757,49917,336
2023-07-30 10:16:01,1145,1202,219,288,162764,163220,4118,3282,2604,45330,50518,336
2023-07-30 10:46:02,1131,1194,219,289,165016,165031,4261,3316,2567,45895,51116,336
2023-07-30 11:17:01,1158,1276,219,289,167447,167064,4902,4057,2641,46493,51775,336
2023-07-30 11:47:01,1132,1296,219,289,169907,169214,4904,4274,2697,47059,52423,336
2023-07-30 12:17:01,1126,1284,219,289,172197,171425,4701,4305,2648,47622,53065,336
2023-07-30 12:47:01,1105,1275,219,289,174643,173452,4768,4152,2659,48175,53702,336
2023-07-30 13:17:01,1094,1294,218,290,176916,175562,4635,4095,2637,48722,54349,336
2023-07-30 13:47:01,1029,1215,218,290,179298,177916,4565,4400,2474,49236,54957,336
2023-07-30 14:17:01,987,1181,218,290,181350,179828,4483,4295,2385,49730,55547,336
2023-07-30 14:47:01,918,1121,218,290,183296,181702,3906,3599,2274,50189,56108,336
2023-07-30 15:17:01,911,1062,218,290,185169,183487,3757,3598,2166,50644,56639,336
2023-07-30 15:47:01,841,998,218,290,186844,185237,3515,3481,2080,51065,57138,336
2023-07-30 16:17:01,806,977,218,290,188329,186820,3100,3255,2021,51468,57626,336
2023-07-30 16:47:01,777,947,218,290,189959,188697,3047,3353,1917,51856,58100,336
2023-07-30 17:17:01,742,896,217,291,191529,190498,3207,3683,1809,52227,58548,336
2023-07-30 17:47:01,679,906,215,293,192906,191929,2989,3269,1749,52567,59001,336
2023-07-30 18:17:01,670,905,214,293,194200,193396,2648,2851,1733,52902,59453,336
2023-07-30 18:47:01,677,860,214,293,195457,194699,2472,2736,1710,53240,59883,336
2023-07-30 19:17:01,667,837,213,294,196958,196090,2878,2848,1687,53574,60302,336
2023-07-30 19:47:02,637,814,212,295,198317,197367,2703,2427,1633,53892,60709,336
2023-07-30 20:18:01,619,768,212,295,199718,198606,2670,2417,1544,54212,61105,336
2023-07-30 20:48:02,615,731,212,295,200928,199614,2587,2232,1514,54520,61471,336
2023-07-30 21:19:01,564,679,212,295,202163,200617,2476,2012,1426,54811,61822,336
2023-07-30 21:49:01,536,637,212,295,203431,201685,2441,2001,1348,55079,62140,336
2023-07-30 22:19:01,527,642,212,295,204541,202644,2258,1911,1308,55343,62461,336
2023-07-30 22:49:01,510,599,212,295,205728,203609,2254,1892,1262,55598,62761,336
2023-07-30 23:19:01,483,588,211,296,206869,204503,2404,1913,1213,55839,63055,336
2023-07-30 23:49:02,483,567,211,296,208132,205417,2418,1802,1178,56081,63338,336
2023-07-31 00:20:01,500,573,209,296,209201,206229,2269,1671,1192,56339,63634,336
2023-07-31 00:50:01,473,561,208,296,210349,207224,2051,1718,1180,56575,63915,336
2023-07-31 01:20:01,504,580,207,299,211204,208075,1889,1732,1211,56827,64205,336
2023-07-31 01:50:02,581,593,207,299,212066,208836,1689,1580,1268,57118,64501,336
2023-07-31 02:21:01,608,597,208,298,213489,209933,2035,1635,1341,57432,64810,336
2023-07-31 02:51:01,613,603,208,297,214585,210790,2150,1632,1370,57739,65111,336
2023-07-31 03:21:02,622,618,207,297,215516,211521,2114,1679,1395,58050,65420,336
2023-07-31 03:52:01,618,656,207,297,216570,212357,1989,1565,1465,58369,65759,336
2023-07-31 04:22:01,666,695,207,297,217449,213092,1934,1568,1511,58702,66107,336
2023-07-31 04:52:01,706,727,208,296,218523,213978,2100,1697,1597,59055,66470,336
2023-07-31 05:22:01,761,788,208,296,219601,214833,2154,1733,1683,59435,66864,336
2023-07-31 05:52:01,811,839,208,296,221223,216074,2702,2086,1813,59841,67284,336
2023-07-31 06:22:01,822,882,208,296,223100,217266,3501,2424,1905,60252,67725,336
2023-07-31 06:52:01,807,914,208,296,224877,218644,3654,2564,1926,60655,68182,336
2023-07-31 07:22:01,777,917,207,296,225741,219340,2698,2049,1950,61044,68640,336
2023-07-31 07:52:05,849,965,207,297,227325,220661,2551,2073,2028,61469,69124,336
2023-07-31 08:23:01,866,944,207,296,229324,222347,3436,2877,2056,61916,69610,336
2023-07-31 08:53:01,834,947,208,296,231259,223908,3794,3087,2038,62333,70084,336
2023-07-31 09:23:01,851,1014,208,296,232948,225256,3575,2844,2079,62758,70591,336
2023-07-31 09:53:01,704,884,208,296,234530,226593,3346,2692,2150,63110,71033,336
2023-07-31 10:23:01,928,1119,207,296,236308,228290,3260,2950,2268,63574,71592,336
2023-07-31 10:53:01,934,1156,207,297,238255,229881,3598,3133,2326,64041,72170,336
2023-07-31 11:23:01,927,1192,206,297,240203,231518,3708,3095,2392,64505,72766,336
2023-07-31 11:53:01,967,1265,206,298,242407,233338,4125,3454,2443,64988,73399,336
2023-07-31 12:23:01,967,1228,206,298,244305,235290,4034,3739,2437,65472,74013,336
