Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,Target
2021-01-20 10:23:01,419,363,88,77,6,1,0,1,893,0,0,1
2021-01-20 10:53:01,513,472,157,141,928,920,1084,1051,1036,256,236,1
2021-01-20 11:23:01,522,472,163,151,1880,1858,1880,1861,1069,517,472,1
2021-01-20 11:53:01,469,468,163,177,2951,2868,2005,1922,997,752,706,1
2021-01-20 12:23:01,429,449,165,178,3755,3960,1822,2065,941,966,930,1
2021-01-20 12:53:01,410,413,165,179,4424,4850,1492,2005,873,1171,1137,1
2021-01-20 13:23:01,382,375,165,180,5101,5635,1357,1702,817,1362,1324,1
2021-01-20 13:53:01,369,357,165,180,5763,6269,1344,1425,767,1547,1503,1
2021-01-20 14:23:01,332,330,165,180,6425,6936,1325,1297,699,1713,1668,1
2021-01-20 14:53:01,318,287,165,179,7076,7576,1248,1274,669,1872,1811,1
2021-01-20 15:23:01,287,295,165,179,7794,8256,1369,1320,629,2015,1959,1
2021-01-20 15:53:01,272,275,166,179,8361,8872,1292,1303,594,2151,2096,1
2021-01-20 16:23:01,241,283,165,180,8900,9393,1090,1108,566,2272,2238,1
2021-01-20 16:53:01,230,289,164,181,9314,9902,983,1059,570,2387,2382,1
2021-01-20 17:23:01,218,272,163,182,9820,10393,920,1000,545,2496,2518,1
2021-01-20 17:53:02,230,271,163,182,10343,10956,1043,1069,549,2611,2654,1
2021-01-20 18:24:01,245,275,164,181,10792,11491,907,1045,555,2737,2796,1
2021-01-20 18:54:01,237,259,164,181,11268,11938,927,983,542,2856,2925,1
2021-01-20 19:24:01,229,247,164,181,11763,12541,949,1037,515,2970,3049,1
2021-01-20 19:54:01,220,208,164,181,12178,13033,917,1110,469,3080,3153,1
2021-01-20 20:24:01,213,214,164,181,12589,13507,830,971,477,3187,3260,1
2021-01-20 20:54:01,195,199,164,181,13059,13981,897,966,431,3284,3359,1
2021-01-20 21:24:01,192,179,164,181,13577,14500,1003,1004,400,3380,3449,1
2021-01-20 21:54:01,167,158,164,181,13954,14882,913,917,364,3464,3528,1
2021-01-20 22:24:01,166,172,164,181,14274,15172,680,646,367,3547,3614,1
2021-01-20 22:54:02,148,174,164,181,14548,15439,586,541,356,3621,3701,1
2021-01-20 23:25:01,139,159,164,181,14776,15731,478,548,343,3692,3783,1
2021-01-20 23:55:01,130,161,163,181,14955,15967,381,504,335,3757,3863,1
2021-01-21 00:25:01,135,160,163,181,15159,16206,379,472,330,3825,3943,1
2021-01-21 00:55:01,138,162,164,181,15392,16417,422,433,335,3894,4024,1
2021-01-21 01:25:01,151,156,164,181,15637,16646,480,447,340,3969,4102,1
2021-01-21 01:55:02,153,152,164,181,15861,16833,469,416,340,4046,4178,1
2021-01-21 02:26:01,160,163,164,181,16116,17026,480,380,374,4129,4262,1
2021-01-21 02:56:01,166,173,164,181,16395,17213,530,372,394,4212,4349,1
2021-01-21 03:26:01,173,181,164,181,16675,17470,539,426,394,4298,4439,1
2021-01-21 03:56:01,178,176,164,181,16929,17724,501,487,392,4387,4527,1
2021-01-21 04:26:01,202,182,163,181,17180,18034,462,546,436,4488,4618,1
2021-01-21 04:56:01,210,196,164,181,17517,18356,583,597,450,4593,4716,1
2021-01-21 05:26:01,209,213,164,181,17897,18601,685,544,461,4698,4823,1
2021-01-21 05:56:01,209,202,163,181,18195,18932,661,568,459,4802,4924,1
2021-01-21 06:26:01,207,216,164,181,18465,19205,553,596,468,4906,5032,1
2021-01-21 06:56:01,217,221,164,181,18664,19462,469,530,484,5014,5142,1
2021-01-21 07:26:01,227,208,163,181,18903,19732,440,530,482,5128,5246,1
2021-01-21 07:56:01,243,237,164,181,19140,20070,439,537,526,5249,5365,1
2021-01-21 08:26:01,257,248,164,181,19524,20506,587,752,562,5378,5489,1
2021-01-21 08:56:01,253,256,164,181,19909,20908,770,824,565,5504,5617,1
2021-01-21 09:26:01,261,273,164,181,20302,21312,787,818,575,5635,5753,1
2021-01-21 09:56:01,285,261,164,181,20670,21699,748,783,608,5777,5884,1
2021-01-21 10:26:01,291,257,164,181,21096,22222,782,895,624,5923,6012,1
2021-01-21 10:56:01,304,275,165,180,21802,22758,1108,1039,653,6075,6150,1
2021-01-21 11:26:01,328,302,165,180,22598,23337,1501,1115,688,6239,6301,1
2021-01-21 11:56:01,327,303,165,180,23306,24000,1470,1216,693,6402,6452,1
2021-01-21 12:26:01,328,305,166,178,24050,24672,1417,1326,718,6566,6605,1
2021-01-21 12:56:02,314,293,166,178,24681,25256,1203,1081,669,6723,6752,1
2021-01-21 13:27:01,325,285,166,178,25362,25864,1181,1106,676,6891,6899,1
2021-01-21 13:57:01,310,265,166,178,26171,26570,1510,1330,641,7046,7031,1
2021-01-21 14:27:01,297,250,166,178,26915,27280,1586,1432,597,7194,7156,1
2021-01-21 14:57:01,258,219,166,178,27485,27804,1223,1126,554,7323,7266,1
2021-01-21 15:27:01,249,221,166,177,28040,28359,1061,1036,520,7448,7376,1
2021-01-21 15:57:01,228,218,166,176,28428,28733,867,856,501,7562,7485,1
2021-01-21 16:27:01,205,221,167,176,28764,29055,710,682,480,7664,7596,1
2021-01-21 16:57:01,209,208,167,176,29087,29461,651,766,455,7769,7700,1
2021-01-21 17:27:01,218,219,167,176,29444,29826,679,771,470,7878,7809,1
2021-01-21 17:57:01,226,226,167,176,29841,30317,707,854,491,7991,7922,1
2021-01-21 18:27:01,211,222,167,176,30396,30851,933,1013,485,8096,8033,1
