Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours
2021-12-14 10:17:01,1,1,265,262,0,0,0,0,3026,0,0
2021-12-14 10:47:01,943,806,266,264,74,94,27,42,3596,471,403
2021-12-14 11:17:01,1878,1630,273,271,4276,4059,4276,4059,4018,1410,1218
2021-12-14 11:47:01,1945,1707,287,277,8660,7998,8586,7904,4114,2383,2071
2021-12-14 12:17:01,1855,1675,287,280,12568,11912,8292,7853,3968,3310,2909
2021-12-14 12:47:01,1793,1618,288,281,16114,15509,7454,7511,3799,4207,3718
2021-12-14 13:17:01,1710,1527,289,283,19925,19328,7357,7416,3614,5062,4481
2021-12-14 13:47:01,1621,1456,287,286,23141,22611,7027,7102,3422,5872,5209
2021-12-14 14:17:01,1486,1368,286,286,26533,26287,6608,6959,3147,6615,5893
2021-12-14 14:47:01,1383,1289,286,287,29690,29521,7069,7482,2981,7307,6538
2021-12-14 15:17:02,1258,1229,285,287,32425,32508,5892,6221,2805,7936,7152
2021-12-14 15:48:01,1221,1179,284,287,34954,35163,5314,5698,2675,8566,7761
2021-12-14 16:18:01,1153,1120,284,287,37372,37752,5055,5338,2516,9143,8321
2021-12-14 16:48:01,1106,1077,282,288,39820,40320,4905,5190,2461,9696,8860
2021-12-14 17:18:01,1104,1061,282,288,42133,42500,4761,4748,0,10248,9390
2021-12-14 17:48:01,1104,1056,282,288,44571,45174,4751,4854,2405,10800,9918
2021-12-14 18:18:01,1034,1032,282,288,46987,47539,4866,5051,2298,11317,10434
2021-12-14 18:48:01,1031,1010,282,288,49536,49902,4935,4717,2267,11832,10939
2021-12-14 19:18:01,966,942,282,288,51723,52156,4736,4617,2169,12315,11410
2021-12-14 19:48:01,936,940,281,288,53629,54478,4298,4791,2084,12783,11880
2021-12-14 20:18:01,881,891,281,288,55383,56438,3620,4227,1968,13224,12326
2021-12-14 20:48:01,854,864,280,288,57266,58261,3652,3800,1925,13651,12758
2021-12-14 21:18:01,799,801,278,290,59068,60045,3698,3620,1769,14050,13158
2021-12-14 21:48:01,768,754,278,289,60677,61710,3411,3449,1686,14434,13535
2021-12-14 22:18:01,697,663,278,290,62551,63372,3390,3201,1507,14783,13867
2021-12-14 22:48:01,652,608,278,290,64172,64757,3693,3231,1411,15109,14171
2021-12-14 23:18:01,604,571,278,290,65470,66225,2919,2853,1246,15411,14456
2021-12-14 23:48:01,583,545,278,290,66540,67490,2338,2701,1279,15702,14729
2021-12-15 00:18:01,529,522,278,290,67586,68536,2116,2311,1193,15967,14990
2021-12-15 00:48:01,540,512,277,291,68564,69342,2024,1852,1205,16237,15246
2021-12-15 01:18:01,530,488,277,291,69458,70140,1872,1604,1162,16502,15490
2021-12-15 01:48:01,541,479,277,291,70356,70863,1814,1539,1161,16772,15729
2021-12-15 02:18:01,528,475,277,291,71260,71551,1806,1415,1154,17036,15967
2021-12-15 02:48:01,541,475,277,291,72164,72299,1804,1436,1167,17307,16204
2021-12-15 03:18:01,507,476,277,291,72911,73012,1651,1461,1147,17560,16442
2021-12-15 03:48:01,531,493,277,291,73628,73897,1463,1600,1177,17826,16689
2021-12-15 04:18:01,553,507,277,291,74289,74550,1378,1538,1221,18102,16942
2021-12-15 04:48:01,557,535,277,291,74973,75284,1345,1387,1264,18381,17210
2021-12-15 05:18:01,596,556,277,291,75662,76004,1373,1454,1298,18679,17488
2021-12-15 05:48:01,654,595,277,291,76564,76878,1591,1594,1422,19006,17785
2021-12-15 06:18:01,687,623,278,290,77936,77842,2274,1838,1483,19349,18097
2021-12-15 06:48:01,757,656,278,290,79350,79092,2815,2233,1585,19728,18425
2021-12-15 07:18:01,747,673,278,290,80823,80474,2887,2631,1602,20101,18761
2021-12-15 07:48:01,787,700,278,290,82237,81672,2887,2579,1703,20495,19111
2021-12-15 08:18:01,840,765,278,290,83518,82898,2695,2424,1804,20915,19494
2021-12-15 08:48:01,890,829,278,290,85110,84368,2873,2697,1940,21360,19908
2021-12-15 09:18:01,914,819,278,290,86862,85900,3687,3252,1956,21817,20318
2021-12-15 09:48:01,959,885,278,290,88517,87494,3477,3197,2088,22296,20760
2021-12-15 10:18:01,1006,885,278,290,90242,88985,3405,3113,2154,22799,21203
2021-12-15 10:48:01,1066,923,278,290,92118,90852,3601,3358,2261,23332,21664
2021-12-15 11:18:02,1068,978,278,289,94076,92905,3834,3920,2302,23867,22153
2021-12-15 11:49:01,1127,1066,278,289,96530,95178,4413,4324,2446,24449,22704
2021-12-15 12:19:01,1162,1057,278,290,99075,97431,4999,4526,2507,25030,23232
2021-12-15 12:49:02,1185,1026,277,289,101663,99948,5139,4777,2519,25622,23746
2021-12-15 13:20:01,1153,992,278,290,104202,102328,5022,4835,2419,26218,24258
2021-12-15 13:50:01,1117,994,278,290,106544,104312,4805,4310,2365,26776,24755
2021-12-15 14:20:02,1021,970,278,290,108895,106424,4731,4137,2243,27287,25240
2021-12-15 14:50:02,951,903,277,291,111182,108416,4569,4042,2154,27763,25692
2021-12-15 15:20:02,908,883,277,291,113003,109927,4107,3503,2002,28217,26133
2021-12-15 15:50:02,927,852,277,291,114819,111657,3626,3234,1989,28680,26559
2021-12-15 16:21:01,891,841,277,291,116633,113267,3547,3263,1932,29140,26994
2021-12-15 16:51:01,884,823,277,291,118533,115164,3796,3597,1893,29582,27405
2021-12-15 17:21:01,863,793,277,291,120614,117159,4008,3920,1848,30014,27802
2021-12-15 17:51:01,890,756,277,291,122714,119159,4116,3964,1827,30459,28180
2021-12-15 18:21:01,855,768,277,291,124912,121164,4242,3865,1812,30886,28564
2021-12-15 18:51:01,849,771,277,291,126741,122870,4022,3668,1796,31311,28949
2021-12-15 19:21:01,831,757,277,291,128795,124613,3894,3448,1767,31726,29328
2021-12-15 19:51:01,786,683,277,291,130395,126051,3658,3111,1693,32119,29669
2021-12-15 20:21:01,757,640,277,291,132153,127563,3416,2990,1552,32498,29989
2021-12-15 20:51:01,739,643,277,291,133968,129085,3616,3062,1566,32867,30311
2021-12-15 21:21:01,694,596,277,291,135613,130453,3326,2817,1456,33214,30609
2021-12-15 21:51:01,675,564,277,291,137072,131793,3150,2744,1383,33552,30891
2021-12-15 22:21:01,613,549,277,291,138561,132990,2885,2489,1303,33858,31165
2021-12-15 22:51:01,601,509,277,291,139877,134104,2768,2287,1237,34159,31420
2021-12-15 23:21:01,526,484,277,291,141140,135124,2556,2107,1123,34422,31662
2021-12-15 23:51:01,512,477,277,291,142471,136313,2580,2173,1106,34678,31900
2021-12-16 00:21:01,485,455,277,291,143740,137340,2598,2209,1062,34920,32128
2021-12-16 00:51:01,485,445,277,291,145077,138574,2569,2193,1051,35163,32350
2021-12-16 01:21:01,467,442,277,291,146285,139586,2468,2140,1020,35396,32571
2021-12-16 01:51:01,486,446,277,291,147517,140430,2437,1827,1041,35639,32794
2021-12-16 02:21:01,491,434,277,291,148571,141282,2373,1740,1046,35885,33011
2021-12-16 02:51:01,509,447,277,291,149750,142135,2157,1658,1090,36139,33235
2021-12-16 03:21:01,491,443,277,291,150680,143064,2138,1804,1064,36385,33456
2021-12-16 03:51:01,518,477,277,291,151789,144135,1984,1947,1112,36644,33695
2021-12-16 04:21:01,513,480,277,291,152952,145096,2188,1926,1126,36900,33935
2021-12-16 04:51:01,524,486,277,291,153922,145958,2007,1753,1141,37162,34178
2021-12-16 05:21:01,539,496,277,291,155051,146872,2132,1803,1163,37432,34426
2021-12-16 05:51:01,592,499,276,291,156064,147899,2116,1889,1218,37728,34675
2021-12-16 06:21:01,603,526,276,291,157119,148986,2006,2078,1280,38029,34938
2021-12-16 06:51:02,656,582,276,290,158585,150367,2519,2462,1361,38357,35229
