Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2022-02-18 10:19:01,1527,1457,259,267,1130,1077,499,663,3397,763,728,49,61,70,0,0,0
2022-02-18 10:49:01,1680,1663,259,269,6331,5742,6959,6304,3682,1603,1560,50,35,17,0,1,0
2022-02-18 11:19:01,1650,1734,259,269,10463,9511,9635,8701,3686,2428,2427,20,49,0,84,0,0
2022-02-18 11:49:01,1583,1734,259,269,14934,13233,8837,7694,3658,3220,3294,17,62,0,151,0,0
2022-02-18 12:19:01,1596,1699,259,269,18245,16594,7748,7056,3615,4018,4143,5,51,0,103,0,0
2022-02-18 12:49:01,1457,1661,259,269,22097,20239,7183,7025,3422,4746,4974,6,46,0,204,0,0
2022-02-18 13:19:01,1397,1604,260,269,25574,23812,7377,7262,3309,5445,5776,12,47,0,207,0,0
2022-02-18 13:49:01,1283,1546,258,270,28991,27626,7000,7488,3127,6086,6549,3,68,0,263,0,0
2022-02-18 14:19:01,1232,1489,256,272,31562,30634,6098,6955,3002,6702,7293,0,55,0,257,0,0
2022-02-18 14:49:01,1145,1347,256,272,34120,33461,5116,5797,2750,7275,7967,0,24,0,202,0,0
2022-02-18 15:19:01,1068,1285,255,273,36578,35639,4882,4800,2591,7809,8609,7,33,0,217,0,1
2022-02-18 15:49:01,1014,1215,255,273,38929,37839,4808,4372,2479,8316,9217,5,35,0,201,0,1
2022-02-18 16:19:01,961,1177,255,273,40923,39757,4762,4499,2365,8796,9805,2,26,0,216,0,1
2022-02-18 16:49:01,907,1133,255,273,43167,42047,4305,4273,2273,9250,10372,0,44,0,226,0,0
2022-02-18 17:19:01,870,1066,255,273,45080,44027,4126,4190,2162,9685,10905,1,42,0,196,0,1
2022-02-18 17:49:01,873,1022,254,274,46850,45800,3613,3713,2092,10121,11416,0,22,0,149,0,1
2022-02-18 18:19:01,848,980,253,274,48530,47339,3458,3323,2028,10545,11906,0,38,0,132,0,1
2022-02-18 18:49:01,831,995,253,274,50229,49067,3355,3278,2009,10961,12403,4,21,0,164,0,1
2022-02-18 19:19:01,858,945,252,275,51896,50877,3346,3544,1986,11390,12876,1,23,0,87,0,1
2022-02-18 19:49:01,829,923,251,275,53664,52732,3435,3666,1945,11804,13337,0,6,0,94,0,1
2022-02-18 20:19:01,775,849,251,275,55410,54483,3613,3689,1821,12192,13762,0,25,0,74,0,1
2022-02-18 20:49:01,763,845,251,275,57142,56160,3480,3427,1771,12573,14184,0,5,0,82,0,1
2022-02-18 21:19:01,718,813,251,275,58655,57626,3224,3135,1722,12932,14591,0,12,0,95,0,1
2022-02-18 21:49:01,670,762,251,275,60046,59013,2951,2909,1581,13267,14972,0,7,0,92,0,1
2022-02-18 22:19:02,645,729,251,275,61227,60145,2579,2513,1519,13590,15336,0,7,0,84,0,1
2022-02-18 22:49:02,609,703,251,275,62383,61198,2340,2169,1474,13894,15688,2,10,0,94,0,1
2022-02-18 23:20:01,591,696,251,275,63445,62093,2219,1933,1430,14199,16047,2,7,0,105,0,1
2022-02-18 23:50:02,582,658,251,275,64598,63216,2212,2026,1387,14491,16376,1,9,0,76,0,1
2022-02-19 00:20:02,607,608,251,275,65457,64020,1961,1891,1365,14794,16680,0,0,0,1,0,0
2022-02-19 00:50:02,595,580,251,275,66421,64997,1823,1781,1318,15092,16970,0,3,15,0,0,0
2022-02-19 01:20:02,609,582,251,275,67337,65780,1887,1764,1348,15396,17261,1,14,27,0,0,0
2022-02-19 01:51:01,608,631,251,275,68337,66829,1884,1784,1361,15710,17587,0,1,0,23,0,0
2022-02-19 02:21:01,618,635,251,275,69253,67832,1919,2147,1408,16019,17905,1,0,0,17,0,0
2022-02-19 02:51:01,607,642,251,275,70431,68820,2059,1947,1411,16322,18226,0,4,0,35,0,0
2022-02-19 03:21:01,630,669,251,275,71401,69690,2109,1818,1470,16637,18560,0,5,0,39,0,0
2022-02-19 03:51:01,620,688,251,275,72485,70651,2025,1775,1484,16947,18904,0,13,0,68,0,1
2022-02-19 04:21:01,661,704,251,275,73375,71683,1927,1963,1538,17278,19256,0,8,0,43,0,0
2022-02-19 04:51:01,678,742,251,275,74432,72690,1922,2039,1590,17617,19627,0,11,0,64,0,1
2022-02-19 05:21:01,758,779,251,275,75469,73674,2095,1992,1717,17996,20017,0,18,0,21,0,0
2022-02-19 05:51:01,770,836,251,275,76691,74946,2207,2238,1775,18381,20435,5,14,0,66,0,1
2022-02-19 06:21:01,834,855,251,275,77856,76279,2314,2634,1874,18798,20862,3,4,0,21,0,0
2022-02-19 06:51:01,860,889,251,275,79296,77883,2631,2942,1912,19228,21307,1,2,0,29,0,0
2022-02-19 07:21:01,891,941,251,275,80651,79275,2722,2886,2017,19673,21777,4,10,0,50,0,0
2022-02-19 07:51:01,902,984,251,275,82184,80755,2879,2860,2091,20124,22269,0,19,0,82,0,1
2022-02-19 08:21:01,958,1009,251,275,83598,82105,2939,2832,2197,20603,22774,7,15,0,51,0,0
2022-02-19 08:51:01,988,1050,251,275,85319,83692,3183,2955,2241,21097,23299,20,3,0,62,0,0
2022-02-19 09:21:01,1042,1096,251,275,86879,85270,3417,3342,2362,21618,23847,19,2,0,54,0,1
2022-02-19 09:51:01,1096,1098,251,275,89029,87287,3735,3619,2412,22166,24396,20,4,0,2,0,1
2022-02-19 10:21:01,1121,1135,251,275,91502,89377,4608,4055,2507,22727,24963,24,12,0,14,0,1
2022-02-19 10:51:01,1105,1158,251,275,94226,91601,5193,4318,2503,23279,25542,12,4,0,53,0,0
2022-02-19 11:21:01,1145,1141,251,275,96499,93363,4792,3828,2521,23852,26113,14,0,4,0,0,1
2022-02-19 11:51:01,1154,1136,251,275,99306,95634,4955,3964,2542,24429,26681,33,1,18,0,0,1
2022-02-19 12:21:01,1187,1156,251,275,101768,97636,5215,4234,2593,25022,27259,26,6,31,0,0,0
2022-02-19 12:51:01,1162,1160,251,275,104527,99691,5203,4052,2526,25603,27839,17,0,2,0,0,1
2022-02-19 13:21:01,1140,1150,251,275,106724,101515,4907,3856,2525,26173,28414,18,15,0,10,0,1
2022-02-19 13:51:01,1115,1110,251,275,109327,103533,4663,3755,2487,26731,28969,32,35,5,0,0,0
2022-02-19 14:21:01,1079,1097,251,275,111550,105324,4885,3857,2399,27270,29517,10,17,0,18,0,0
2022-02-19 14:51:02,1025,1085,251,275,113901,107346,4438,3716,2322,27783,30060,4,21,0,60,0,1
2022-02-19 15:22:01,996,1054,251,275,115891,109241,4309,3902,2269,28298,30604,7,9,0,58,0,1
2022-02-19 15:52:01,928,1000,251,275,117892,111312,3814,3836,2141,28762,31104,0,26,0,72,0,1
2022-02-19 16:22:02,907,1001,251,275,119804,112894,3951,3698,2095,29215,31605,3,28,0,94,0,1
2022-02-19 16:53:02,870,931,250,275,121573,114804,3582,3367,2001,29665,32086,0,31,0,61,0,1
2022-02-19 17:24:01,829,906,250,276,122875,116256,2870,3128,1931,30093,32554,4,21,0,77,0,1
