Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours,Target
2021-11-15 09:58:01,1,1,261,220,0,0,0,0,2410,0,0,0
2021-11-15 10:28:01,1093,882,257,247,1121,1083,1266,1268,3092,546,441,0
2021-11-15 10:58:01,1091,901,273,261,3940,3847,3979,3891,3192,1092,891,0
2021-11-15 11:28:01,1197,973,277,266,6156,5948,5010,4941,3168,1690,1378,0
2021-11-15 11:58:01,1176,958,283,266,8477,8224,4509,4357,3169,2278,1857,0
2021-11-15 12:28:01,1127,932,288,266,10625,10363,4558,4502,3063,2842,2323,0
2021-11-15 12:58:01,1050,905,289,266,13003,12883,4565,4702,2927,3367,2775,0
2021-11-15 13:28:01,1029,895,289,266,15134,15087,4524,4714,2920,3881,3223,0
2021-11-15 13:58:02,939,878,288,269,17215,17565,4359,4956,2771,4351,3662,0
2021-11-15 14:29:01,907,832,288,269,19040,19643,3834,4418,2651,4819,4091,0
2021-11-15 14:59:01,853,789,288,269,20913,21532,3673,3973,2506,5246,4486,0
2021-11-15 15:29:02,783,758,287,272,22594,23295,3434,3603,2387,5637,4865,0
2021-11-15 16:00:02,726,736,286,273,24232,24991,3171,3232,2279,6012,5245,0
2021-11-15 16:31:01,698,738,286,273,25791,26607,3162,3279,2276,6373,5626,0
2021-11-15 17:01:01,690,697,286,273,27540,28347,3309,3351,2244,6718,5975,0
2021-11-15 17:31:01,669,670,285,273,29173,30139,3312,3416,2202,7052,6310,0
2021-11-15 18:01:01,654,654,285,273,31072,32035,3513,3669,2157,7379,6637,0
2021-11-15 18:31:01,658,640,284,274,32901,33942,3853,3917,2136,7708,6957,0
2021-11-15 19:01:01,641,610,282,274,34518,35870,3264,3705,2095,8029,7262,0
2021-11-15 19:31:01,605,609,280,276,35841,37676,2832,3555,2028,8331,7566,0
2021-11-15 20:01:01,562,576,280,276,37144,39196,2633,3336,1927,8612,7854,0
2021-11-15 20:31:01,535,557,279,277,38276,40586,2513,3000,1827,8880,8133,0
2021-11-15 21:01:01,507,503,279,277,39693,41906,2494,2648,1707,9133,8384,0
2021-11-15 21:31:02,456,448,277,278,40693,42926,2404,2312,1597,9362,8609,0
2021-11-15 22:02:01,435,406,278,278,41662,43855,1915,1934,1502,9586,8818,0
2021-11-15 22:32:01,385,359,277,279,42387,44452,1692,1493,1370,9779,8998,0
2021-11-15 23:02:01,354,328,278,278,42954,44975,1303,1136,1242,9956,9162,0
