Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualtyRate,SteamPlayers,WardenPlayHours,ColonialPlayHours
2020-12-30 09:29:02,326,343,129,116,290,311,280,291,769,163,171
2020-12-30 10:00:01,381,375,131,130,1133,1136,1098,1099,845,359,365
2020-12-30 10:30:02,398,398,135,131,1900,1895,1682,1649,891,558,564
2020-12-30 11:00:02,387,401,136,132,2807,2791,1798,1790,882,752,764
2020-12-30 11:30:02,390,364,135,134,3661,3679,1782,1805,840,947,946
2020-12-30 12:01:01,379,375,135,134,4285,4266,1338,1349,842,1143,1140
2020-12-30 12:31:02,360,375,135,134,5106,4991,1510,1367,821,1323,1328
2020-12-30 13:02:01,346,365,135,134,5865,5680,1601,1432,799,1501,1516
2020-12-30 13:32:01,337,358,135,134,6660,6455,1442,1391,796,1670,1695
2020-12-30 14:02:01,339,346,135,134,7455,7232,1589,1552,754,1839,1868
2020-12-30 14:32:01,339,338,135,134,8229,7977,1527,1480,747,2009,2037
2020-12-30 15:02:01,342,342,135,134,9077,8668,1641,1419,768,2180,2208
2020-12-30 15:32:01,333,333,135,134,9925,9401,1598,1342,734,2346,2374
2020-12-30 16:02:01,312,327,135,134,10554,10108,1489,1461,715,2502,2538
2020-12-30 16:32:01,307,329,135,134,11176,10748,1311,1416,692,2656,2702
2020-12-30 17:02:01,315,295,135,134,11908,11502,1356,1397,666,2813,2850
2020-12-30 17:32:01,297,280,135,133,12569,12293,1368,1548,646,2962,2990
2020-12-30 18:02:01,290,255,135,134,13189,12991,1288,1495,622,3107,3117
2020-12-30 18:32:01,276,245,135,134,13812,13590,1243,1296,586,3245,3240
2020-12-30 19:02:02,276,258,135,134,14394,14181,1203,1175,611,3383,3369
2020-12-30 19:33:01,279,262,135,134,14997,14832,1124,1208,609,3527,3504
2020-12-30 20:03:01,266,267,135,134,15675,15402,1256,1119,583,3660,3638
2020-12-30 20:33:01,237,263,135,134,16280,15972,1208,1103,558,3778,3769
2020-12-30 21:03:01,221,254,135,134,16873,16575,1199,1180,540,3889,3896
2020-12-30 21:33:01,218,231,135,134,17461,17278,1118,1260,504,3998,4012
2020-12-30 22:03:01,209,230,135,134,17903,17774,945,1105,485,4102,4127
2020-12-30 22:33:01,187,209,135,134,18357,18239,837,871,454,4196,4231
2020-12-30 23:03:01,176,210,135,134,18658,18581,755,807,448,4284,4336
2020-12-30 23:33:01,172,202,135,134,19032,18958,686,732,430,4370,4437
2020-12-31 00:03:01,179,212,135,134,19462,19418,758,797,445,4459,4543
2020-12-31 00:33:01,187,195,134,135,20011,19924,960,919,434,4553,4641
2020-12-31 01:03:02,163,191,134,135,20397,20429,870,966,402,4635,4736
2020-12-31 01:34:01,154,190,134,135,20971,21155,828,1084,408,4714,4835
